day,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,158.218122,163.940627,162.953550,166.872057,217.385111,357.995897,709.628179,1022.487491,1099.287211,841.728979,573.876621,498.369210,497.357713,524.555885,677.528404,894.740707,1108.965504,1184.176551,990.229377,620.257849,332.335097,216.545322,170.888579,158.161326
2,179.516580,180.708397,175.901457,188.328115,231.623106,418.421195,805.627335,1138.962498,1237.913427,916.843161,661.223121,550.947040,542.632754,596.705240,709.759687,1002.650877,1298.210495,1419.101073,1074.046087,717.466099,383.339037,240.891630,192.534399,190.522838
3,207.047943,205.806568,203.406485,199.976067,271.629071,465.096690,873.297805,1313.647428,1396.567543,1050.286889,724.637332,604.379243,623.672477,686.461247,819.634763,1111.741206,1415.813447,1474.458697,1260.219647,782.918236,404.775919,258.625710,218.969788,207.967518
4,211.835747,227.797624,225.035957,233.947981,287.293433,483.349741,961.762715,1460.210897,1492.250654,1092.166405,811.226026,652.068914,628.272045,724.516631,810.917897,1185.832462,1579.494084,1679.307450,1414.526585,843.588202,445.094489,287.671971,233.719346,214.742906
5,216.745011,224.922860,224.932051,238.179632,302.017868,537.165732,1007.252256,1524.397738,1515.841689,1208.461461,794.238065,698.578112,672.199686,740.010936,939.717854,1215.365505,1680.305370,1797.269618,1413.142558,867.000224,468.625297,292.041791,241.534620,223.743927
6,234.915483,231.257304,241.437590,238.444126,319.016280,560.757183,1005.103128,1585.231945,1656.703817,1248.722121,830.478985,730.108470,697.814874,777.139775,921.381111,1298.325978,1653.400744,1805.241459,1481.847426,891.424325,505.801209,306.671174,249.951424,236.515266
7,239.104116,240.611172,251.684272,265.356243,325.916105,578.604740,1093.346706,1608.122554,1564.287794,1267.771264,920.944712,756.287218,750.557039,806.319429,991.394406,1326.067479,1780.429854,1848.264958,1498.765942,950.366698,532.230514,319.436009,263.026639,244.936682
8,245.583128,253.610806,259.170575,271.128113,338.212778,585.161277,1074.666798,1638.919188,1783.711828,1312.500464,926.792550,806.908555,784.163586,850.669064,993.629399,1419.122477,1874.214252,1922.240209,1598.511015,999.537607,500.040054,344.397707,260.824775,259.051557
9,267.840118,263.727006,265.061488,278.413028,350.383129,609.067078,1138.660331,1715.745067,1799.271432,1373.753063,977.717691,798.895409,821.533186,902.007835,1111.913405,1408.576733,1930.716295,2026.853776,1549.566323,1004.648393,547.365576,353.014430,293.118164,276.483113
10,279.556619,287.908362,283.339963,296.551966,357.924237,634.682929,1205.516070,1769.814791,1836.687268,1431.527893,1043.379337,865.542346,863.786974,919.423688,1110.079617,1525.116792,1951.555849,2121.522067,1703.303638,1062.771904,591.283728,365.377138,298.580828,274.607085
11,283.085845,284.756554,285.989679,317.598167,380.153679,680.864385,1292.209057,1950.417063,1955.842532,1491.588436,1067.516574,932.981945,889.828636,990.426071,1200.035156,1547.993242,2134.386836,2245.943255,1716.096353,1144.827513,634.054113,382.656380,311.992318,298.982365
12,302.553099,294.185644,294.207022,312.615163,394.510715,708.663951,1272.632012,1907.682360,1989.429316,1612.380930,1145.260428,934.415365,945.012193,1018.106613,1184.265887,1621.120832,2172.127491,2288.198769,1750.023521,1128.737935,635.057258,380.637342,324.916954,308.383520
13,315.395534,297.709582,306.927824,331.036251,400.254194,711.723408,1315.527195,1983.442462,2007.029222,1593.862331,1162.576807,968.189593,929.026220,1016.911268,1201.882691,1720.059815,2200.032573,2385.516185,1879.894344,1158.363757,659.770916,389.681901,324.565063,317.896885
14,302.688421,286.874926,302.521759,341.402009,407.965177,693.585619,1329.417495,2065.199873,2058.982964,1558.437642,1176.958502,949.116341,968.217963,987.812699,1286.731872,1697.538545,2288.165449,2408.969875,1893.500135,1191.311929,653.016713,434.663929,335.952462,322.506340
15,314.110225,294.291497,301.407719,339.509244,414.841249,705.766142,1369.473169,2012.361189,2206.078186,1583.696538,1112.530099,956.848806,978.493064,1031.766828,1268.406527,1689.703863,2201.739886,2333.577746,1878.541557,1215.191319,646.439036,416.615401,316.091771,295.152832
16,329.897168,300.241470,319.065008,329.392832,423.570939,761.362522,1360.610569,2047.778198,2076.415455,1636.421002,1095.015128,986.202956,956.393009,1006.856102,1244.675043,1693.496124,2285.078646,2261.802843,1860.632237,1212.078424,646.850537,406.661740,334.306720,305.833025
17,315.279438,300.431110,304.420012,332.791601,409.405906,710.620361,1335.583299,2031.580666,2102.690430,1629.617660,1161.697968,1007.366441,956.910490,1075.412590,1253.068649,1673.087647,2256.625867,2356.605599,2002.194548,1176.028965,668.282615,419.315370,338.233565,331.466513
18,311.244693,320.619286,324.006862,351.390552,412.304214,713.501992,1386.922915,2093.479708,2135.900105,1639.884590,1161.774002,994.050185,1009.040936,1054.175561,1255.533329,1776.856467,2242.734737,2539.900591,1959.273021,1248.208941,661.049041,424.896001,336.714128,318.736209
19,330.112546,328.239942,337.703584,348.051728,447.774376,765.187692,1418.489673,2186.700008,2214.888174,1694.882874,1184.441686,1025.707487,982.919792,1049.258004,1311.836470,1774.108302,2318.403825,2516.495987,2109.730249,1272.126441,687.972646,418.220933,343.347735,321.966357
20,323.596947,333.522321,346.487502,357.354716,450.876275,774.932142,1472.601949,2168.885773,2207.813689,1776.851205,1221.485322,1030.463899,1001.051774,1160.237614,1403.204483,1802.052385,2333.992374,2492.127758,2101.865037,1336.263146,702.415274,427.262513,349.091740,343.847263
21,342.584807,338.294287,337.293058,350.725730,459.313074,803.375612,1528.531306,2179.676903,2360.792018,1749.032185,1247.470698,1106.520351,1096.041064,1133.790870,1457.801442,1838.363149,2424.344681,2482.366634,2083.727671,1335.140632,749.132184,468.039432,368.922771,358.299464
22,330.339586,352.305166,344.347834,366.306814,457.728854,792.708736,1526.487601,2204.960454,2341.738929,1803.137937,1270.150029,1099.138762,1111.130070,1105.504497,1427.784584,1856.667376,2462.315395,2694.692039,2021.167579,1348.779990,725.102781,449.748418,367.610111,342.010914
23,332.325970,339.329506,338.692345,371.297127,449.161536,809.593469,1448.976299,2250.730473,2425.579586,1852.255399,1253.869749,1107.453271,977.021801,1132.452080,1321.460048,1809.645837,2354.670202,2518.031295,2054.100733,1311.993411,746.618068,457.085014,362.147031,339.944258
24,335.276092,361.108258,328.362565,373.505268,457.813082,788.632061,1600.217202,2225.663399,2258.211100,1783.470920,1275.653644,1065.427333,1056.843465,1121.850738,1333.925347,1874.771320,2472.370941,2541.558119,2021.847787,1262.048078,691.195345,441.977673,349.426188,351.619145
25,321.404707,329.271882,347.598793,360.256434,452.003074,774.302847,1463.086213,2201.842765,2328.752029,1758.094222,1240.509300,1002.142689,1057.086758,1177.899472,1340.029780,1864.974608,2366.183961,2592.581335,2094.632946,1241.727954,708.058447,440.599207,354.002502,344.619469
