date,month,route,direction,directed_route,boardings,weekday_frequency,n_stops,od_total,rel_boardings_error,mean_trip_km
2024-05,2024-05,A Line,Northbound,A Line Northbound,888.0,5,26,888.0000000000002,2.56051436309946e-16,3.9451218548792277
2024-04,2024-04,A Line,Northbound,A Line Northbound,825.0,5,26,824.9999999999999,1.3780222754135276e-16,3.945121854879228
2024-03,2024-03,A Line,Northbound,A Line Northbound,783.0,5,26,783.0,0.0,3.9451218548792277
2024-02,2024-02,A Line,Northbound,A Line Northbound,816.0,5,26,816.0,0.0,3.945121854879228
2024-01,2024-01,A Line,Northbound,A Line Northbound,718.0,5,26,718.0,0.0,3.9451218548792273
2023-12,2023-12,A Line,Northbound,A Line Northbound,689.0,5,26,689.0000000000001,1.6500266723021194e-16,3.9451218548792273
2023-11,2023-11,A Line,Northbound,A Line Northbound,744.0,5,26,744.0,0.0,3.9451218548792273
2023-10,2023-10,A Line,Northbound,A Line Northbound,798.0,5,26,798.0,0.0,3.945121854879227
2023-09,2023-09,A Line,Northbound,A Line Northbound,709.0,5,26,709.0,0.0,3.9451218548792286
2023-08,2023-08,A Line,Northbound,A Line Northbound,719.0,5,26,719.0,0.0,3.9451218548792273
2023-07,2023-07,A Line,Northbound,A Line Northbound,699.0,5,26,699.0,0.0,3.945121854879227
2023-06,2023-06,A Line,Northbound,A Line Northbound,726.0,5,26,726.0,0.0,3.945121854879228
2023-05,2023-05,A Line,Northbound,A Line Northbound,741.0,5,26,741.0,0.0,3.945121854879228
2023-04,2023-04,A Line,Northbound,A Line Northbound,693.0,5,26,693.0,0.0,3.9451218548792277
2023-03,2023-03,A Line,Northbound,A Line Northbound,709.0,5,26,709.0,0.0,3.9451218548792286
2023-02,2023-02,A Line,Northbound,A Line Northbound,712.0,5,26,712.0,0.0,3.945121854879227
2023-01,2023-01,A Line,Northbound,A Line Northbound,663.0,5,26,663.0,0.0,3.9451218548792286
2022-12,2022-12,A Line,Northbound,A Line Northbound,581.0,5,26,581.0,0.0,3.945121854879227
2022-11,2022-11,A Line,Northbound,A Line Northbound,648.0,5,26,648.0,0.0,3.945121854879229
2022-10,2022-10,A Line,Northbound,A Line Northbound,713.0,5,26,713.0,0.0,3.9451218548792277
2022-09,2022-09,A Line,Northbound,A Line Northbound,707.0,5,26,706.9999999999999,1.6080175066706653e-16,3.945121854879228
2022-08,2022-08,A Line,Northbound,A Line Northbound,636.0,5,26,636.0,0.0,3.945121854879228
2022-07,2022-07,A Line,Northbound,A Line Northbound,633.0,5,26,633.0000000000001,1.7960005959181047e-16,3.945121854879227
2022-06,2022-06,A Line,Northbound,A Line Northbound,625.0,5,26,625.0000000000001,1.8189894035458566e-16,3.9451218548792277
2022-05,2022-05,A Line,Northbound,A Line Northbound,637.0,5,26,637.0000000000001,1.7847227271839252e-16,3.945121854879228
