month,boardings
2019-06,15131.0
2019-07,14300.0
2019-08,13976.0
2019-09,15069.0
2019-10,15400.0
2019-11,14898.0
2019-12,13153.0
2020-01,14623.0
2020-02,14911.0
2020-03,7664.0
2020-04,3880.0
2020-05,4047.0
2020-06,4575.0
2020-07,4763.0
2020-08,4848.0
2020-09,4994.0
2020-10,4883.0
2020-11,4732.0
2020-12,4462.0
2021-01,4537.0
2021-02,4593.0
2021-03,4796.0
2021-04,4842.0
2021-05,5033.0
2021-06,5449.0
2021-07,5765.0
2021-08,5873.0
2021-09,6691.0
2021-10,6708.0
2021-11,6595.0
2021-12,5721.0
2022-01,5889.0
2022-02,6229.0
2022-03,6839.0
2022-04,6928.0
2022-05,7236.0
2022-06,7400.0
2022-07,7201.0
2022-08,7181.0
2022-09,7672.0
2022-10,7675.0
2022-11,7318.0
2022-12,6340.0
2023-01,7422.0
2023-02,7582.0
2023-03,8309.0
2023-04,8994.0
2023-05,9802.0
2023-06,9731.0
2023-07,9173.0
2023-08,9478.0
2023-09,9822.0
2023-10,10384.0
2023-11,10040.0
2023-12,8837.0
2024-01,9747.0
2024-02,10323.0
2024-03,10362.0
2024-04,10575.0
2024-05,11078.0
