stop_name,Federal Way TC - Bay 8,Pacific Hwy S & S 316th St,Pacific Hwy S & S 312th St,Pacific Hwy S & S 308th St,Pacific Hwy S & S Dash Point Rd,Pacific Hwy S & S 288th St,Pacific Hwy S & S 283rd St,Pacific Hwy S & S 276th St,Pacific Hwy S & S 272nd St,Pacific Hwy S & S 268th St,Pacific Hwy S & S 260th St,Pacific Hwy S & S 252nd St,Pacific Hwy S & S 246th St,Pacific Hwy S & S 240th St,Pacific Hwy S & Kent Des Moines Rd,Pacific Hwy S & S 224th St,International Blvd & S 216th St,International Blvd & S 208th St,International Blvd & S 200th St,International Blvd & S 195th St,International Blvd & S 188th St,International Blvd & S 180th St,International Blvd & S 176th St - Bay 2,International Blvd & S 170th St,International Blvd & S 160th St,Tukwila International Blvd Station - Bay 2
Federal Way TC - Bay 8,0.0,0.5364096448638829,0.6180808361649139,0.691173539523862,0.7361032858345855,0.7692767073495537,0.8070859618713987,0.8312811930695603,0.8555394812263656,0.8773200307339738,0.8650732492619413,0.847486181552719,0.8334854326654606,0.8099631104399759,0.7651582919807219,0.7237642090133745,0.6747568549492596,0.6239207366424325,0.5687173751859124,0.5204270649737286,0.4643503315318138,0.40689515345636595,0.3593877170968168,0.3071954035057672,0.2511440293108615,0.20463434869995645
Pacific Hwy S & S 316th St,0.0,0.0,0.7799709686537334,0.8672416193159553,0.9182598052810347,0.9585711075534323,1.005343399860007,1.0340755288457215,1.0628286638449078,1.0891056998230382,1.0720284309886698,1.0489898797852055,1.0312264522217747,1.002001294665076,0.9465414971322295,0.8963671452388127,0.835978371405628,0.7729799826002692,0.7045784173956298,0.644745562517146,0.5753580154654429,0.5043007717066095,0.4454669995709541,0.380778567411863,0.3111207577027314,0.2533877810981247
Pacific Hwy S & S 312th St,0.0,0.0,0.0,1.051687158109852,1.113532347638725,1.1624440546001624,1.2191700566944497,1.2539919861562816,1.2888079986425565,1.3206336166563395,1.2998061164324521,1.2717730889064236,1.250205211979987,1.214776848663987,1.1475579945570595,1.0868442355712813,1.013656723300967,0.9372730089462503,0.8543369247983368,0.7817883979601417,0.6976611427459121,0.6115104622318169,0.5401727541615148,0.46173279056705635,0.3772547654018273,0.3072413091962687
Pacific Hwy S & S 308th St,0.0,0.0,0.0,0.0,1.3266772555205677,1.384952998127697,1.452529038382863,1.4940292871717709,1.5354884388364023,1.573378243242328,1.5484602749105543,1.5149689098141874,1.4892467451996838,1.4470501802739124,1.3670003988434192,1.2947884810316952,1.2076275604869586,1.1166311717054707,1.0178277231323332,0.9313974897598563,0.8311778206733248,0.7285477276655091,0.6435590238326585,0.5501068214629802,0.44945271736609327,0.36603396650888564
Pacific Hwy S & S Dash Point Rd,0.0,0.0,0.0,0.0,0.0,1.6264573095350754,1.7057631438629128,1.7546889231532012,1.8034070146888326,1.847852653732515,1.8183148744867972,1.7787271052749842,1.7484536148812249,1.6989433919583774,1.605036126612789,1.5205485106602814,1.4182603526247852,1.3114020342913846,1.1953725245091584,1.0938694388745025,0.976181123663839,0.8556604416384922,0.7558469687861675,0.6460903567417956,0.5278622813927878,0.42987846904047283
Pacific Hwy S & S 288th St,0.0,0.0,0.0,0.0,0.0,0.0,1.982287195611763,2.038891213790081,2.094844755229115,2.146072375731531,2.1107898315914464,2.0642183765138773,2.0289890138074593,1.971699575050668,1.8630049725189994,1.7658080446713065,1.6472813529534123,1.5232151210489293,1.388484560583836,1.2706021124865639,1.1339606260991375,0.9940320265020132,0.8781001204522599,0.7505996625906224,0.6131869752491258,0.4993185900397582
Pacific Hwy S & S 283rd St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.350802695836043,2.4144166178643776,2.4730739022220485,2.431674558488593,2.3776530778132785,2.3371104311999504,2.2713785412303915,2.1465306900443424,2.035354881730262,1.898986026666685,1.7560169193496096,1.6007384769725286,1.464855831607608,1.3073802022993388,1.1461148555931409,1.0124656008587922,0.8654635377296221,0.7069751638765172,0.5756539245960213
Pacific Hwy S & S 276th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.765468690803406,2.832501235198481,2.7848188650317653,2.7228409262215485,2.6765353019659264,2.6015164128854806,2.4588090233122344,2.3317973213935286,2.1755853560431304,2.011786608318673,1.8338838166742808,1.678205447972096,1.4977775445354513,1.312998255705782,1.1598768582278516,0.9914662572555943,0.8099286880813258,0.659495087939571
Pacific Hwy S & S 272nd St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.233134923346215,3.1787092864590787,3.1079652854859585,3.0550988611647276,2.9694084540634003,2.806364049774789,2.660778160008985,2.4822013158026417,2.2952374181697333,2.0922022313360147,1.9145637333120296,1.708628131553111,1.497713866213671,1.3230085694314615,1.130894806601228,0.9239301000805511,0.7523858169752909
Pacific Hwy S & S 268th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6227202876992632,3.542094262904105,3.481842479554535,3.3841439339327426,3.1982132229803963,3.0318114401727905,2.8280875348047907,2.615020904518877,2.383656742186013,2.181253342290431,1.9465641344420166,1.7061906513827603,1.5071365410277475,1.2882754789418613,1.0525888785985305,0.8572052355929407
