month,system_boardings,n_active_stations,od_total,max_rel_origin_error,mean_trip_km
2019-01,1316749.0,40,1316749.0,4.064629407200901e-16,6.992731313016847
2019-02,1188760.0,40,1188760.0,3.1522214774211184e-16,6.991404583905848
2019-03,1321957.0,40,1321957.0,4.26717354652714e-16,6.981613052908878
2019-04,1196376.0,40,1196376.0,4.3288657866393537e-16,6.949846718269412
2019-05,1224593.0,43,1224593.0,3.323720987704274e-16,7.0449526332798245
2019-06,1117133.0,43,1117133.0,4.945593810619511e-16,7.195705985474446
2019-07,1102254.0,43,1102254.0,3.9019454143741226e-16,7.268037508561052
2019-08,1265304.0,43,1265304.0,3.3579276417682416e-16,7.1744533069250975
2019-09,1289471.0,43,1289471.0,3.72165399439912e-16,7.1624102803906196
2019-10,1387669.0,43,1387669.0,3.5539284004217386e-16,7.153063141021221
2019-11,1315204.0,43,1315204.0,4.0092338627856657e-16,7.183337618276623
2019-12,1204458.0,43,1204458.0,3.588458085511652e-16,7.249162349540148
2020-01,1283849.0,43,1283849.0,3.896303745412566e-16,7.248402392429054
2020-02,1279399.0,43,1279398.9999999998,6.876030490764345e-16,7.2417911596782485
2020-03,980520.0,43,980520.0,4.256190473345087e-16,7.201659131584838
2020-04,587134.0,43,587134.0,4.756149571305678e-16,7.298119211407104
2020-05,585091.0,43,585091.0,6.470201814841795e-16,7.273647252436914
2020-06,545199.0,43,545199.0,3.380602286357062e-16,7.287353939593953
2020-07,518874.0,43,518874.0,3.956044809799601e-16,7.319875662257033
2020-08,543423.0,43,543423.0,3.9707256135032885e-16,7.334367625779258
2020-09,547121.0,43,547121.0,3.6134076351725397e-16,7.284297067720113
2020-10,584177.0,43,584177.0,5.851976633391496e-16,7.25573926592631
2020-11,569281.0,43,569281.0,5.342308905747954e-16,7.385386991310558
2020-12,420137.0,43,420137.0,4.3526906043212646e-16,7.262033008064736
2021-01,243082.0,43,243082.0,5.838827531176513e-16,7.304194160302507
2021-02,449529.0,43,449529.0,6.275623265640353e-16,7.332727037486821
2021-03,517211.0,43,517211.0,4.033235928039593e-16,7.24289567005102
2021-04,594496.0,43,594496.0,4.447044422327088e-16,7.401350778581196
2021-05,535225.0,43,535225.0,4.052555204513438e-16,7.356891330094375
2021-06,559917.0,43,559917.0,3.6614118428861845e-16,7.386260297939366
2021-07,569281.0,43,569281.0,5.342308905747954e-16,7.385386991310558
2021-08,638892.0,43,638892.0,5.096279060155093e-16,7.2903758295323975
2021-09,672068.0,43,672068.0,4.567264990490098e-16,7.265295903400883
2021-10,700832.0,43,700832.0,5.079202522990175e-16,7.2763814390986346
2021-11,703615.0,43,703615.0,3.617000205897507e-16,7.245308583938034
2021-12,679919.0,43,679919.0,4.003938814760855e-16,7.305463225819705
2022-01,628392.0,43,628392.0,3.623484867621228e-16,7.345659028924787
2022-02,733124.0,43,733124.0,6.811100036680015e-16,7.3030418226577
2022-03,863078.0,43,863078.0,4.0575271102963564e-16,7.271286766092139
2022-04,811435.0,43,811435.0,6.00260500565127e-16,7.241428977102204
2022-05,756764.0,43,756764.0,7.362392097406984e-16,7.2620034902191435
2022-06,602742.0,40,602742.0,5.64494487497421e-16,7.339092748329967
2023-01,801310.0,43,801310.0,4.573389382029475e-16,7.240432684496134
2023-02,722810.0,43,722810.0,4.031671532212238e-16,6.8745397976001765
2023-03,910446.0,43,910446.0,4.682987458443346e-16,7.2495814367562605
2023-04,885155.0,43,885155.0,5.510975773215078e-16,7.230278239254898
2023-05,862289.0,43,862289.0,6.144196600391341e-16,7.208330151341823
2023-06,757200.0,43,757200.0,5.280851803007276e-16,7.220962039524008
2023-07,687633.0,43,687633.0,3.454870662005425e-16,7.329958148736106
2023-08,785915.0,43,785915.0,4.263422954519762e-16,7.275444482762513
2023-09,818894.375,43,818894.375,4.2292551033900363e-16,7.237296289542326
2023-10,857065.5,43,857065.5,5.023329308114578e-16,7.233726906043867
2023-11,795705.0,43,795705.0,3.459881411437945e-16,7.2477000883863045
2023-12,760196.5,43,760196.5,5.588865434901239e-16,7.281989350731277
2024-01,877075.0,46,877075.0,4.4360185429724584e-16,7.324125881328957
2024-02,921759.0,46,921759.0,4.628471764747726e-16,7.353781513432929
2024-03,929421.0,46,929421.0,4.1729511437161193e-16,7.334834880731615
2024-04,885115.0,46,885115.0,3.561059912971528e-16,7.334428560485317
2024-05,866183.0,46,866183.0,4.329380943819723e-16,7.378699377864648
2024-06,763461.0,46,763461.0,4.570325134537328e-16,7.365011715985455
2024-07,780735.0,46,780735.0,5.771592126429561e-16,7.448544332705452
2024-08,879787.0,46,879787.0,4.524989964976166e-16,7.400260587780297
2024-09,901257.0,46,901257.0,6.263468010315866e-16,7.3693728131776535
2024-10,912688.0,46,912688.0,5.230989465718529e-16,7.426126256686392
2024-11,841657.0,46,841657.0,5.62632045637444e-16,7.4000257447700255
2024-12,790083.0,46,790083.0,6.420717979335886e-16,7.443487841575609
