,Metro Parkway,Mountain View/ 25th Ave,25th Ave/ Dunlap,19th Ave/Dunlap,Northern/19th Ave,Glendale/19th Ave,19th Ave/Montebello,19th Ave/Camelback,7th Ave/Camelback,Central Ave/Camelback,Campbell/Central Ave,Indian School/Central Ave,Osborn/Central Ave,Thomas/Central Ave,Encanto/Central Ave,McDowell/Central Ave,Roosevelt/Central Ave,WB Van Buren/Central Ave,EB Van Buren/1st Ave,EB Jefferson/1st Ave,WB Washington/Central Ave,EB 3rd St/Jefferson,WB 3rd St/Washington,WB 12th St/Washington,EB 12th St/Jefferson,EB 24th St/Jefferson,WB 24th St/Washington,38th St/Washington,44th St/Washington,50th St/Washington,Priest Dr/Washington St,Center Pkwy/Washington St,Mill Ave/Third St,Veterans Way/College Ave,University Dr/Rural,Dorsey/Apache Blvd,McClintock/Apache Blvd,Smith-Martin/Apache Blvd,Price-101 Fwy/Apache Blvd,Sycamore/Main St,Alma School/Main St,Country Club/Main St,Center/Main St,Mesa Dr/Main St,Stapley/Main St,Gilbert Rd/Main St
Metro Parkway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain View/ 25th Ave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25th Ave/ Dunlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19th Ave/Dunlap,0.0,0.0,0.0,0.0,5494.786332838007,5746.153876476803,6060.695754899135,4849.781001594197,2537.2453648586243,2044.7709120705983,1755.5162069423939,2783.264797517354,1282.8058728836324,2403.8067844597495,688.7019188823448,2062.9147988064747,1409.1927788608616,1098.9333862671629,1542.1945790645345,673.1512572946,1129.3760868659706,1227.8173384534591,839.8200324354955,343.1869402590368,369.10213481031275,436.32088636375124,586.975407310135,704.1019662359128,1497.8703368592953,313.0717499480506,569.8642431957464,168.56844382565455,555.479257993953,690.6320081800893,341.24945092022745,742.098046921699,518.618823861585,156.92465069426893,247.35056816650254,321.970084161019,259.50347010701074,204.06228964454186,97.70446763827844,142.34099920154637,89.63031576918229,280.9443764608075
Northern/19th Ave,0.0,0.0,0.0,4135.5995242112685,0.0,2104.778900862454,2219.888353006719,1776.5186247767022,925.817584143481,741.8278588922173,637.8437877458236,1012.8809588422317,467.6851103722928,877.1000098419097,251.51484917201623,753.9500217215793,515.223476325091,401.9460096798683,564.1875144952152,246.30864190604495,413.12959325156623,448.7991164933649,307.02321506731255,125.02096189623857,134.41437989263494,157.23958244972295,211.4750759245313,250.06121923654354,528.782819842725,109.90000290774482,198.79935669182842,58.69055998359397,193.96723693117377,240.87024174104522,118.92150525199112,258.3419243565547,179.9982813624284,54.323237994587004,85.26421510004046,110.33815101241878,88.55765867693123,69.31096537662698,33.11164704062012,48.13653572334454,30.17344381369352,94.27784598582753
Glendale/19th Ave,0.0,0.0,0.0,3997.3498325824207,1945.4215399197283,0.0,3129.578127887037,2504.4085455496247,1288.2524739680478,1019.9654359272828,881.1293650443316,1404.6790082957002,651.360853253731,1223.8620063583935,351.64175774294955,1055.8548884311513,722.126512468097,563.8472757387664,791.7531888034332,345.8034927800275,579.6892592198432,628.8666523338723,430.31554079080104,174.1884685588016,187.1777422585705,215.68503827102455,289.95830077793215,336.6300486677153,706.7364567973256,145.94212140385557,262.2567193799239,77.28412047247826,256.43926493298585,318.0529385877605,156.94338883801913,340.66186993129475,236.57565245108944,71.19904287218726,111.24855879777172,143.0771417790539,114.33911331111132,89.0593002732316,42.44962566841864,61.58006555215366,38.42527494358745,119.68398837847045
19th Ave/Montebello,0.0,0.0,0.0,3945.4898978915494,1920.0914684180175,2928.6626235251074,0.0,3821.2704749623663,1885.2404001960663,1456.3144212477014,1282.1239890543698,2068.164635048658,970.355564511843,1831.9100340989016,528.7740203827282,1593.4866378435825,1091.6323940247535,853.8095015878151,1199.6717908920023,524.3716915142982,878.2485074386137,950.7920691234643,650.8041632227241,261.061053636885,280.3272029253561,316.08417100500935,424.63396625267546,481.14917219636874,1001.0748431666309,205.14871962496198,366.0405887639062,107.70380155957868,359.52776427849125,445.3262572252249,219.7341106541383,476.7612092123966,329.8256683581626,98.94231219655471,153.79783532873319,196.4078182598522,156.2066430650039,121.01895717717723,57.538987177399605,83.27382111298031,51.70440722863524,160.49640460931695
19th Ave/Camelback,0.0,0.0,0.0,3009.3937153214247,1464.6672788475796,2233.9176162656345,3642.38801176568,0.0,1748.9753091443074,1336.8257947828363,1215.2644205344502,1995.6550473617738,952.2908018241932,1809.0637156698162,525.0648781974153,1588.5266775763048,1090.007752142341,853.8856343047358,1200.3457774519484,525.0149841418645,878.7315932918474,949.9360031363038,650.3298755248723,259.1057305640305,278.09553785366296,308.6839577538296,414.4488829672872,462.0030392360184,955.7084847347838,194.94870486753715,346.52257865234094,101.91087760839187,341.7553002403635,423.0178411352982,208.80217993307897,453.0973181727667,312.72311256286554,93.62716341428793,145.0808322600713,184.4879861791212,146.31409016932142,112.99597024224306,53.645799020941205,77.53285858895912,48.00076990425307,148.70609665320706
7th Ave/Camelback,0.0,0.0,0.0,1439.7836764306508,698.0275043234462,1050.850310529699,1643.3234893088352,1599.4165084775825,0.0,773.6251662888659,688.1818664495634,1103.2851231972897,511.3063675704383,958.9386164286354,274.746096870079,822.3913972849292,561.4308512811144,437.44286981312626,613.4637156965911,267.6010517186967,449.42637069464627,489.4919209902476,334.7165427946951,136.66569890820637,146.9057902706363,168.72065956762913,226.73999189853777,258.32743214569234,537.4851213655044,110.08566742892333,196.2614393059698,57.73886968622793,192.9146054409443,238.92078619787586,117.8937648103987,255.79592820044877,176.8770914106535,53.03499769078786,82.3649329208726,105.02989317246951,83.43798169354123,64.55186511068021,30.670145348734085,44.35759932938989,27.499999304902683,85.2702926418396
Central Ave/Camelback,0.0,0.0,0.0,1147.6555635046377,553.200265070197,822.9196957872198,1255.577733899329,1209.162982168534,765.1784305812662,0.0,595.2545975165792,940.9274163638146,431.76433988934707,807.1913896754717,230.59310794666783,688.7373274054604,469.6713105321668,365.5827865717536,512.0029977337106,223.2151107130418,375.51298497288957,410.9533921182147,280.7036804557796,116.27136995565263,125.12150911436244,146.73285786936464,197.2834278553423,227.79713996350827,475.5964386726652,97.64509157055315,174.39800907002476,51.320852663722086,171.16292563542794,212.05223135859458,104.62725480461164,227.01588544949544,157.13118187743336,47.15123437542729,73.31210786749243,93.61822413605229,74.43515402170988,57.63662940854899,27.39471165531408,39.63355895444349,24.587279873454236,76.26981094071763
