destination_zone_id,total_volume,number_of_origins,avg_distance_mile,avg_travel_time_min,google_maps_link
1,545,44,13.9572,26.9002,"https://www.google.com/maps/search/?api=1&query=37.803471,-122.271589"
2,523,44,15.2098,32.8388,"https://www.google.com/maps/search/?api=1&query=37.765176,-122.419755"
3,547,45,15.1979,27.7037,"https://www.google.com/maps/search/?api=1&query=37.808060,-122.268722"
4,400,46,15.721,35.0133,"https://www.google.com/maps/search/?api=1&query=37.752422,-122.418518"
5,9,7,20.975,39.5224,"https://www.google.com/maps/search/?api=1&query=37.995415,-121.780353"
6,77,26,8.40997,17.2523,"https://www.google.com/maps/search/?api=1&query=37.853069,-122.269750"
7,211,40,13.7816,28.8011,"https://www.google.com/maps/search/?api=1&query=37.721758,-122.447510"
8,68,27,11.2222,19.3123,"https://www.google.com/maps/search/?api=1&query=37.696938,-122.126431"
9,93,21,24.8525,36.4946,"https://www.google.com/maps/search/?api=1&query=37.368495,-121.874661"
10,25,10,10.5152,17.5924,"https://www.google.com/maps/search/?api=1&query=37.690776,-122.075615"
11,1654,48,15.5708,33.2111,"https://www.google.com/maps/search/?api=1&query=37.779450,-122.413879"
12,56,23,15.4799,34.6854,"https://www.google.com/maps/search/?api=1&query=37.684642,-122.466167"
13,185,32,11.1206,20.3226,"https://www.google.com/maps/search/?api=1&query=37.753604,-122.196698"
14,114,24,14.9578,25.5708,"https://www.google.com/maps/search/?api=1&query=37.973773,-122.029126"
15,221,45,16.8552,35.7761,"https://www.google.com/maps/search/?api=1&query=37.706304,-122.468994"
16,335,33,9.37806,19.2637,"https://www.google.com/maps/search/?api=1&query=37.870117,-122.268078"
17,107,32,14.4151,28.0198,"https://www.google.com/maps/search/?api=1&query=37.925205,-122.316868"
18,80,13,20.5437,30.988,"https://www.google.com/maps/search/?api=1&query=37.701692,-121.899242"
19,2613,48,15.8355,31.2475,"https://www.google.com/maps/search/?api=1&query=37.792789,-122.397080"
20,111,25,16.1954,25.6474,"https://www.google.com/maps/search/?api=1&query=37.557513,-121.976605"
21,135,29,11.1757,20.5011,"https://www.google.com/maps/search/?api=1&query=37.774873,-122.224067"
22,166,39,13.8167,30.174,"https://www.google.com/maps/search/?api=1&query=37.733269,-122.433557"
23,108,26,13.1695,22.5284,"https://www.google.com/maps/search/?api=1&query=37.669731,-122.086941"
24,52,16,13.8005,23.7445,"https://www.google.com/maps/search/?api=1&query=37.893220,-122.124644"
25,120,27,11.8906,20.7665,"https://www.google.com/maps/search/?api=1&query=37.797357,-122.265232"
26,278,42,13.9007,24.4793,"https://www.google.com/maps/search/?api=1&query=37.828814,-122.267163"
27,108,20,14.9996,37.2982,"https://www.google.com/maps/search/?api=1&query=37.600199,-122.386840"
28,92,21,25.1053,37.292,"https://www.google.com/maps/search/?api=1&query=37.409836,-121.890803"
29,2389,48,15.4132,31.176,"https://www.google.com/maps/search/?api=1&query=37.789213,-122.401642"
30,41,19,10.1363,20.9907,"https://www.google.com/maps/search/?api=1&query=37.874032,-122.283508"
31,26,8,10.7629,19.0911,"https://www.google.com/maps/search/?api=1&query=38.003407,-122.024561"
32,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=37.713256,-122.212237"
33,24,16,13.3367,23.0757,"https://www.google.com/maps/search/?api=1&query=37.878503,-122.183717"
34,13,4,9.50802,15.3247,"https://www.google.com/maps/search/?api=1&query=38.016873,-121.889011"
35,76,21,15.2859,25.7345,"https://www.google.com/maps/search/?api=1&query=37.928463,-122.056015"
36,24,9,17.8968,29.0264,"https://www.google.com/maps/search/?api=1&query=38.018950,-121.944248"
37,47,22,10.0187,20.185,"https://www.google.com/maps/search/?api=1&query=37.902633,-122.298895"
38,1293,48,15.0848,31.5294,"https://www.google.com/maps/search/?api=1&query=37.784645,-122.407387"
39,66,24,15.9983,32.0416,"https://www.google.com/maps/search/?api=1&query=37.936795,-122.353004"
40,64,20,13.7854,23.6303,"https://www.google.com/maps/search/?api=1&query=37.844795,-122.251271"
41,136,29,11.8813,20.235,"https://www.google.com/maps/search/?api=1&query=37.721806,-122.160713"
42,69,25,18.2423,39.7126,"https://www.google.com/maps/search/?api=1&query=37.637720,-122.416384"
43,283,33,21.6804,46.3798,"https://www.google.com/maps/search/?api=1&query=37.616023,-122.391895"
44,72,22,13.1747,21.3947,"https://www.google.com/maps/search/?api=1&query=37.634363,-122.057158"
45,60,23,19.2831,42.5398,"https://www.google.com/maps/search/?api=1&query=37.664437,-122.444254"
46,122,24,13.8897,21.9846,"https://www.google.com/maps/search/?api=1&query=37.590765,-122.017230"
47,96,27,18.6008,28.904,"https://www.google.com/maps/search/?api=1&query=37.502307,-121.939358"
48,129,23,13.6246,22.8801,"https://www.google.com/maps/search/?api=1&query=37.905812,-122.067379"
49,30,12,19.6174,29.1963,"https://www.google.com/maps/search/?api=1&query=37.699760,-121.928301"
50,121,31,9.64213,19.508,"https://www.google.com/maps/search/?api=1&query=37.804923,-122.295144"
