route_key,mode,o_zone_id,d_zone_id,volume,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,google_maps_http_link,WKT_geometry
1_4_transit,transit,1,4,12,10.1589,16.3457,8.76501,14.1029,1.15903,21.8574,23.6649,"https://www.google.com/maps/dir/37.803471,-122.271589/37.752422,-122.418518/","LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.418518 37.752422)"
1_11_transit,transit,1,11,44,8.23755,13.2542,7.94453,12.7827,1.03688,17.8553,19.6607,"https://www.google.com/maps/dir/37.803471,-122.271589/37.779450,-122.413879/","LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.413879 37.779450)"
1_16_transit,transit,1,16,17,4.67191,7.5171,4.60883,7.41561,1.01369,11.8541,11.8545,"https://www.google.com/maps/dir/37.803471,-122.271589/37.870117,-122.268078/","LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.268078 37.870117)"
1_19_transit,transit,1,19,79,6.93693,11.1615,6.891,11.0876,1.00667,12.8523,14.5776,"https://www.google.com/maps/dir/37.803471,-122.271589/37.792789,-122.397080/","LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.397080 37.792789)"
1_29_transit,transit,1,29,58,7.28785,11.7262,7.16861,11.5343,1.01663,13.8533,15.6276,"https://www.google.com/maps/dir/37.803471,-122.271589/37.789213,-122.401642/","LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.401642 37.789213)"
1_38_transit,transit,1,38,46,7.73295,12.4423,7.52773,12.1121,1.02726,15.8543,17.6513,"https://www.google.com/maps/dir/37.803471,-122.271589/37.784645,-122.407387/","LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.407387 37.784645)"
1_43_transit,transit,1,43,11,22.1575,35.6515,14.5254,23.3714,1.52543,46.8647,48.6732,"https://www.google.com/maps/dir/37.803471,-122.271589/37.616023,-122.391895/","LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.466267 37.684542,-122.444354 37.664337,-122.416484 37.637620,-122.391995 37.615923,-122.391895 37.616023)"
2_7_transit,transit,2,7,14,3.56167,5.73073,3.36142,5.40853,1.05957,7.85356,7.85501,"https://www.google.com/maps/dir/37.765176,-122.419755/37.721758,-122.447510/","LINESTRING(-122.419755 37.765176,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.447510 37.721758)"
2_15_transit,transit,2,15,11,5.14916,8.28501,4.87701,7.84711,1.0558,11.8546,11.8562,"https://www.google.com/maps/dir/37.765176,-122.419755/37.706304,-122.468994/","LINESTRING(-122.419755 37.765176,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.468994 37.706304)"
2_19_transit,transit,2,19,51,2.3556,3.79016,2.27452,3.6597,1.03565,7.8544,8.12398,"https://www.google.com/maps/dir/37.765176,-122.419755/37.792789,-122.397080/","LINESTRING(-122.419755 37.765176,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.397080 37.792789)"
2_29_transit,transit,2,29,53,2.00468,3.22552,1.93308,3.11032,1.03704,5.85341,6.10736,"https://www.google.com/maps/dir/37.765176,-122.419755/37.789213,-122.401642/","LINESTRING(-122.419755 37.765176,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.401642 37.789213)"
2_38_transit,transit,2,38,18,1.55958,2.50937,1.50525,2.42195,1.03609,4.85242,4.91043,"https://www.google.com/maps/dir/37.765176,-122.419755/37.784645,-122.407387/","LINESTRING(-122.419755 37.765176,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.407387 37.784645)"
3_2_transit,transit,3,2,19,9.62858,15.4924,8.76327,14.1001,1.09874,20.8574,22.7499,"https://www.google.com/maps/dir/37.808060,-122.268722/37.765176,-122.419755/","LINESTRING(-122.268722 37.808060,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.419755 37.765176)"
3_11_transit,transit,3,11,53,8.59122,13.8233,8.16833,13.1428,1.05177,18.8563,20.7475,"https://www.google.com/maps/dir/37.808060,-122.268722/37.779450,-122.413879/","LINESTRING(-122.268722 37.808060,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.413879 37.779450)"
3_13_transit,transit,3,13,12,5.74782,9.24824,5.44306,8.75789,1.05599,12.8544,12.8719,"https://www.google.com/maps/dir/37.808060,-122.268722/37.753604,-122.196698/","LINESTRING(-122.268722 37.808060,-122.268822 37.807960,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.196698 37.753604)"
3_19_transit,transit,3,19,87,7.2906,11.7306,7.08666,11.4024,1.02878,13.8533,15.6643,"https://www.google.com/maps/dir/37.808060,-122.268722/37.792789,-122.397080/","LINESTRING(-122.268722 37.808060,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.397080 37.792789)"
3_29_transit,transit,3,29,68,7.64152,12.2952,7.37282,11.8629,1.03644,14.8543,16.7143,"https://www.google.com/maps/dir/37.808060,-122.268722/37.789213,-122.401642/","LINESTRING(-122.268722 37.808060,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.401642 37.789213)"
3_38_transit,transit,3,38,32,8.08661,13.0114,7.74173,12.4564,1.04455,16.8553,18.7381,"https://www.google.com/maps/dir/37.808060,-122.268722/37.784645,-122.407387/","LINESTRING(-122.268722 37.808060,-122.268822 37.807960,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.407387 37.784645)"
4_3_transit,transit,4,3,11,10.5126,16.9147,9.03857,14.5431,1.16308,21.8584,22.207,"https://www.google.com/maps/dir/37.752422,-122.418518/37.808060,-122.268722/","LINESTRING(-122.418518 37.752422,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.295244 37.804823,-122.271689 37.803371,-122.268822 37.807960,-122.268722 37.808060)"
4_7_transit,transit,4,7,13,2.67768,4.30839,2.64546,4.25655,1.01218,5.85258,5.85329,"https://www.google.com/maps/dir/37.752422,-122.418518/37.721758,-122.447510/","LINESTRING(-122.418518 37.752422,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.447510 37.721758)"
4_11_transit,transit,4,11,32,1.93897,3.1198,1.88459,3.0323,1.02886,4.85246,4.95123,"https://www.google.com/maps/dir/37.752422,-122.418518/37.779450,-122.413879/","LINESTRING(-122.418518 37.752422,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.413879 37.779450)"
4_19_transit,transit,4,19,72,3.23959,5.2125,3.02491,4.86708,1.07097,9.85543,10.1788,"https://www.google.com/maps/dir/37.752422,-122.418518/37.792789,-122.397080/","LINESTRING(-122.418518 37.752422,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.397180 37.792689,-122.397080 37.792789)"
4_29_transit,transit,4,29,109,2.88867,4.64787,2.70398,4.35071,1.0683,7.85444,8.16217,"https://www.google.com/maps/dir/37.752422,-122.418518/37.789213,-122.401642/","LINESTRING(-122.418518 37.752422,-122.418618 37.752322,-122.419855 37.765076,-122.413979 37.779350,-122.407487 37.784545,-122.401742 37.789113,-122.401642 37.789213)"
