mode_type,origin_zone_id,destination_zone_id,google_maps_http_link
transit,1,1,"https://www.google.com/maps/dir/37.803471,-122.271589/37.803471,-122.271589/"
transit,1,18,"https://www.google.com/maps/dir/37.803471,-122.271589/37.701692,-121.899242/"
transit,2,32,"https://www.google.com/maps/dir/37.765176,-122.419755/37.713256,-122.212237/"
transit,3,3,"https://www.google.com/maps/dir/37.808060,-122.268722/37.808060,-122.268722/"
transit,3,49,"https://www.google.com/maps/dir/37.808060,-122.268722/37.699760,-121.928301/"
transit,4,4,"https://www.google.com/maps/dir/37.752422,-122.418518/37.752422,-122.418518/"
transit,5,5,"https://www.google.com/maps/dir/37.995415,-121.780353/37.995415,-121.780353/"
transit,5,6,"https://www.google.com/maps/dir/37.995415,-121.780353/37.853069,-122.269750/"
transit,5,9,"https://www.google.com/maps/dir/37.995415,-121.780353/37.368495,-121.874661/"
transit,5,10,"https://www.google.com/maps/dir/37.995415,-121.780353/37.690776,-122.075615/"
transit,5,13,"https://www.google.com/maps/dir/37.995415,-121.780353/37.753604,-122.196698/"
transit,5,16,"https://www.google.com/maps/dir/37.995415,-121.780353/37.870117,-122.268078/"
transit,5,18,"https://www.google.com/maps/dir/37.995415,-121.780353/37.701692,-121.899242/"
transit,5,20,"https://www.google.com/maps/dir/37.995415,-121.780353/37.557513,-121.976605/"
transit,5,21,"https://www.google.com/maps/dir/37.995415,-121.780353/37.774873,-122.224067/"
transit,5,23,"https://www.google.com/maps/dir/37.995415,-121.780353/37.669731,-122.086941/"
transit,5,25,"https://www.google.com/maps/dir/37.995415,-121.780353/37.797357,-122.265232/"
transit,5,27,"https://www.google.com/maps/dir/37.995415,-121.780353/37.600199,-122.386840/"
transit,5,30,"https://www.google.com/maps/dir/37.995415,-121.780353/37.874032,-122.283508/"
transit,5,32,"https://www.google.com/maps/dir/37.995415,-121.780353/37.713256,-122.212237/"
transit,5,37,"https://www.google.com/maps/dir/37.995415,-121.780353/37.902633,-122.298895/"
transit,5,39,"https://www.google.com/maps/dir/37.995415,-121.780353/37.936795,-122.353004/"
transit,5,41,"https://www.google.com/maps/dir/37.995415,-121.780353/37.721806,-122.160713/"
transit,5,44,"https://www.google.com/maps/dir/37.995415,-121.780353/37.634363,-122.057158/"
transit,5,46,"https://www.google.com/maps/dir/37.995415,-121.780353/37.590765,-122.017230/"
transit,5,47,"https://www.google.com/maps/dir/37.995415,-121.780353/37.502307,-121.939358/"
transit,6,18,"https://www.google.com/maps/dir/37.853069,-122.269750/37.701692,-121.899242/"
transit,6,35,"https://www.google.com/maps/dir/37.853069,-122.269750/37.928463,-122.056015/"
transit,6,49,"https://www.google.com/maps/dir/37.853069,-122.269750/37.699760,-121.928301/"
transit,8,8,"https://www.google.com/maps/dir/37.696938,-122.126431/37.696938,-122.126431/"
transit,8,14,"https://www.google.com/maps/dir/37.696938,-122.126431/37.973773,-122.029126/"
transit,8,24,"https://www.google.com/maps/dir/37.696938,-122.126431/37.893220,-122.124644/"
transit,8,31,"https://www.google.com/maps/dir/37.696938,-122.126431/38.003407,-122.024561/"
transit,8,33,"https://www.google.com/maps/dir/37.696938,-122.126431/37.878503,-122.183717/"
transit,8,35,"https://www.google.com/maps/dir/37.696938,-122.126431/37.928463,-122.056015/"
transit,8,40,"https://www.google.com/maps/dir/37.696938,-122.126431/37.844795,-122.251271/"
transit,8,42,"https://www.google.com/maps/dir/37.696938,-122.126431/37.637720,-122.416384/"
transit,8,45,"https://www.google.com/maps/dir/37.696938,-122.126431/37.664437,-122.444254/"
transit,9,9,"https://www.google.com/maps/dir/37.368495,-121.874661/37.368495,-121.874661/"
transit,9,10,"https://www.google.com/maps/dir/37.368495,-121.874661/37.690776,-122.075615/"
transit,9,18,"https://www.google.com/maps/dir/37.368495,-121.874661/37.701692,-121.899242/"
transit,9,24,"https://www.google.com/maps/dir/37.368495,-121.874661/37.893220,-122.124644/"
transit,9,48,"https://www.google.com/maps/dir/37.368495,-121.874661/37.905812,-122.067379/"
transit,10,1,"https://www.google.com/maps/dir/37.690776,-122.075615/37.803471,-122.271589/"
transit,10,3,"https://www.google.com/maps/dir/37.690776,-122.075615/37.808060,-122.268722/"
transit,10,9,"https://www.google.com/maps/dir/37.690776,-122.075615/37.368495,-121.874661/"
transit,10,10,"https://www.google.com/maps/dir/37.690776,-122.075615/37.690776,-122.075615/"
transit,10,14,"https://www.google.com/maps/dir/37.690776,-122.075615/37.973773,-122.029126/"
transit,10,16,"https://www.google.com/maps/dir/37.690776,-122.075615/37.870117,-122.268078/"
transit,10,20,"https://www.google.com/maps/dir/37.690776,-122.075615/37.557513,-121.976605/"
transit,10,26,"https://www.google.com/maps/dir/37.690776,-122.075615/37.828814,-122.267163/"
transit,10,43,"https://www.google.com/maps/dir/37.690776,-122.075615/37.616023,-122.391895/"
transit,10,44,"https://www.google.com/maps/dir/37.690776,-122.075615/37.634363,-122.057158/"
transit,10,46,"https://www.google.com/maps/dir/37.690776,-122.075615/37.590765,-122.017230/"
transit,10,47,"https://www.google.com/maps/dir/37.690776,-122.075615/37.502307,-121.939358/"
transit,11,11,"https://www.google.com/maps/dir/37.779450,-122.413879/37.779450,-122.413879/"
transit,11,32,"https://www.google.com/maps/dir/37.779450,-122.413879/37.713256,-122.212237/"
transit,12,12,"https://www.google.com/maps/dir/37.684642,-122.466167/37.684642,-122.466167/"
transit,12,18,"https://www.google.com/maps/dir/37.684642,-122.466167/37.701692,-121.899242/"
transit,12,25,"https://www.google.com/maps/dir/37.684642,-122.466167/37.797357,-122.265232/"
transit,12,46,"https://www.google.com/maps/dir/37.684642,-122.466167/37.590765,-122.017230/"
transit,13,13,"https://www.google.com/maps/dir/37.753604,-122.196698/37.753604,-122.196698/"
transit,13,24,"https://www.google.com/maps/dir/37.753604,-122.196698/37.893220,-122.124644/"
transit,13,27,"https://www.google.com/maps/dir/37.753604,-122.196698/37.600199,-122.386840/"
transit,13,40,"https://www.google.com/maps/dir/37.753604,-122.196698/37.844795,-122.251271/"
transit,13,42,"https://www.google.com/maps/dir/37.753604,-122.196698/37.637720,-122.416384/"
transit,13,43,"https://www.google.com/maps/dir/37.753604,-122.196698/37.616023,-122.391895/"
transit,13,48,"https://www.google.com/maps/dir/37.753604,-122.196698/37.905812,-122.067379/"
transit,14,13,"https://www.google.com/maps/dir/37.973773,-122.029126/37.753604,-122.196698/"
transit,14,14,"https://www.google.com/maps/dir/37.973773,-122.029126/37.973773,-122.029126/"
transit,14,16,"https://www.google.com/maps/dir/37.973773,-122.029126/37.870117,-122.268078/"
transit,14,18,"https://www.google.com/maps/dir/37.973773,-122.029126/37.701692,-121.899242/"
transit,14,20,"https://www.google.com/maps/dir/37.973773,-122.029126/37.557513,-121.976605/"
transit,14,21,"https://www.google.com/maps/dir/37.973773,-122.029126/37.774873,-122.224067/"
transit,14,23,"https://www.google.com/maps/dir/37.973773,-122.029126/37.669731,-122.086941/"
transit,14,25,"https://www.google.com/maps/dir/37.973773,-122.029126/37.797357,-122.265232/"
transit,14,27,"https://www.google.com/maps/dir/37.973773,-122.029126/37.600199,-122.386840/"
transit,14,28,"https://www.google.com/maps/dir/37.973773,-122.029126/37.409836,-121.890803/"
transit,14,30,"https://www.google.com/maps/dir/37.973773,-122.029126/37.874032,-122.283508/"
transit,14,32,"https://www.google.com/maps/dir/37.973773,-122.029126/37.713256,-122.212237/"
transit,14,39,"https://www.google.com/maps/dir/37.973773,-122.029126/37.936795,-122.353004/"
transit,14,41,"https://www.google.com/maps/dir/37.973773,-122.029126/37.721806,-122.160713/"
transit,14,44,"https://www.google.com/maps/dir/37.973773,-122.029126/37.634363,-122.057158/"
transit,14,47,"https://www.google.com/maps/dir/37.973773,-122.029126/37.502307,-121.939358/"
transit,15,15,"https://www.google.com/maps/dir/37.706304,-122.468994/37.706304,-122.468994/"
