name,link_id,old_link_id,from_node_id,old_from_node_id,to_node_id,old_to_node_id,facility_type,dir_flag,directed_route_id,route_short_name,route_long_name,link_type,link_type_name,length,lanes,num_trips,capacity,free_speed,vdf_free_speed,ref_volume,ref_cost,vdf_fftt,vdf_cap,vdf_alpha,vdf_beta,vdf_plf,vdf_toll,VDF_penalty,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id
,1,1000362,1,1000001,1001,1500001,metro,1,1.1,Yellow-S,Antioch to SFIA/Millbrae,2,boarding_links,14.17151797,1,7,3000,2,1.24300808,,0,4.285714286,21000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,1.1.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
,2,1000364,1,1000001,1002,1500002,metro,1,1.1,Yellow-S,Antioch to SFIA/Millbrae,2,boarding_links,14.17151797,1,3,3000,2,1.24300808,,0,10,9000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,1.1.12TH:0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
,3,1000366,1,1000001,1003,1500003,metro,1,1.1,Yellow-S,Antioch to SFIA/Millbrae,2,boarding_links,14.17151797,1,2,3000,2,1.24300808,,0,10,6000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,1.1.12TH:0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
,4,1000588,1,1000001,1114,1500114,metro,1,2.2,Yellow-N,Millbrae/SFIA to Antioch,2,boarding_links,14.17151797,1,3,3000,2,1.24300808,,0,10,9000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,2.2.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25
,5,1000590,1,1000001,1115,1500115,metro,1,2.2,Yellow-N,Millbrae/SFIA to Antioch,2,boarding_links,14.17151797,1,7,3000,2,1.24300808,,0,4.285714286,21000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,2.2.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27
,6,1000592,1,1000001,1116,1500116,metro,1,2.2,Yellow-N,Millbrae/SFIA to Antioch,2,boarding_links,14.17151797,1,1,3000,2,1.24300808,,0,10,3000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,2.2.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;23
,7,1000742,1,1000001,1191,1500191,metro,1,3.2,Orange-N,Berryessa/North San Jose to Richmond,2,boarding_links,14.17151797,1,1,3000,2,1.24300808,,0,10,3000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,3.2.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
,8,1000744,1,1000001,1192,1500192,metro,1,3.2,Orange-N,Berryessa/North San Jose to Richmond,2,boarding_links,14.17151797,1,7,3000,2,1.24300808,,0,4.285714286,21000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,3.2.12TH:0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
,9,1000746,1,1000001,1193,1500193,metro,1,3.2,Orange-N,Berryessa/North San Jose to Richmond,2,boarding_links,14.17151797,1,1,3000,2,1.24300808,,0,10,3000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,3.2.12TH:0;1;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
,10,1000852,1,1000001,1246,1500246,metro,1,4.1,Orange-S,Richmond to Berryessa/North San Jose,2,boarding_links,14.17151797,1,7,3000,2,1.24300808,,0,4.285714286,21000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,4.1.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21
,11,1001026,1,1000001,1333,1500333,metro,1,7.1,Red-S,Richmond to Daly City/Millbrae,2,boarding_links,14.17151797,1,7,3000,2,1.24300808,,0,4.285714286,21000,0.15,4,1,0,0,"LINESTRING (-122.271589 37.803471, -122.27168900000001 37.803371)",w_metro_only;w_bus_metro;d_metro_only;d_bus_metro,Bay Area Rapid Transit,-1,7.1.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
