name,full_name,node_id,old_node_id,physical_node_id,x_coord,y_coord,route_type,route_id,route_short_name,route_long_name,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
12TH,12th Street / Oakland City Center,1,1000001,1000001,-122.271589,37.803471,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,1.0,Bay Area Rapid Transit,POINT (-122.271589 37.803471),0,,
16TH,16th Street / Mission,2,1000002,1000002,-122.419755,37.765176,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,2.0,Bay Area Rapid Transit,POINT (-122.419755 37.765176),0,,
19TH,19th Street Oakland,3,1000003,1000003,-122.268722,37.80806,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,3.0,Bay Area Rapid Transit,POINT (-122.268722 37.80806),0,,
24TH,24th Street / Mission,4,1000004,1000004,-122.418518,37.752422,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,4.0,Bay Area Rapid Transit,POINT (-122.418518 37.752422),0,,
ANTC,Antioch,5,1000005,1000005,-121.780353,37.995415,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,5.0,Bay Area Rapid Transit,POINT (-121.780353 37.995415),1,,
ASHB,Ashby,6,1000006,1000006,-122.26975,37.853069,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,6.0,Bay Area Rapid Transit,POINT (-122.26975 37.853069),0,,
BALB,Balboa Park,7,1000007,1000007,-122.44751,37.721758,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,7.0,Bay Area Rapid Transit,POINT (-122.44751 37.721758),0,,
BAYF,Bay Fair,8,1000008,1000008,-122.126431,37.696938,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,8.0,Bay Area Rapid Transit,POINT (-122.126431 37.696938),0,,
BERY,Berryessa / North San Jose,9,1000009,1000009,-121.874661,37.368495,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,9.0,Bay Area Rapid Transit,POINT (-121.874661 37.368495),1,,
CAST,Castro Valley,10,1000010,1000010,-122.075615,37.690776,1,12,Blue-N,Daly City to Dublin/Pleasanton,metro_station,,,10.0,Bay Area Rapid Transit,POINT (-122.075615 37.690776),0,,
CIVC,Civic Center / UN Plaza,11,1000011,1000011,-122.413879,37.77945,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,11.0,Bay Area Rapid Transit,POINT (-122.413879 37.77945),0,,
COLM,Colma,12,1000012,1000012,-122.466167,37.684642,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,12.0,Bay Area Rapid Transit,POINT (-122.466167 37.684642),0,,
COLS,Coliseum,13,1000013,1000013,-122.196698,37.753604,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,13.0,Bay Area Rapid Transit,POINT (-122.196698 37.753604),0,,
CONC,Concord,14,1000014,1000014,-122.029126,37.973773,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,14.0,Bay Area Rapid Transit,POINT (-122.029126 37.973773),0,,
DALY,Daly City,15,1000015,1000015,-122.468994,37.706304,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,15.0,Bay Area Rapid Transit,POINT (-122.468994 37.706304),1,,
DBRK,Downtown Berkeley,16,1000016,1000016,-122.268078,37.870117,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,16.0,Bay Area Rapid Transit,POINT (-122.268078 37.870117),0,,
DELN,El Cerrito Del Norte,17,1000017,1000017,-122.316868,37.925205,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,17.0,Bay Area Rapid Transit,POINT (-122.316868 37.925205),0,,
DUBL,Dublin / Pleasanton,18,1000018,1000018,-121.899242,37.701692,1,12,Blue-N,Daly City to Dublin/Pleasanton,metro_station,,,18.0,Bay Area Rapid Transit,POINT (-121.899242 37.701692),1,,
EMBR,Embarcadero,19,1000019,1000019,-122.39708,37.792789,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,19.0,Bay Area Rapid Transit,POINT (-122.39708 37.792789),0,,
FRMT,Fremont,20,1000020,1000020,-121.976605,37.557513,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,20.0,Bay Area Rapid Transit,POINT (-121.976605 37.557513),0,,
FTVL,Fruitvale,21,1000021,1000021,-122.224067,37.774873,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,21.0,Bay Area Rapid Transit,POINT (-122.224067 37.774873),0,,
GLEN,Glen Park,22,1000022,1000022,-122.433557,37.733269,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,22.0,Bay Area Rapid Transit,POINT (-122.433557 37.733269),0,,
HAYW,Hayward,23,1000023,1000023,-122.086941,37.669731,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,23.0,Bay Area Rapid Transit,POINT (-122.086941 37.669731),0,,
LAFY,Lafayette,24,1000024,1000024,-122.124644,37.89322,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,24.0,Bay Area Rapid Transit,POINT (-122.124644 37.89322),0,,
LAKE,Lake Merritt,25,1000025,1000025,-122.265232,37.797357,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,25.0,Bay Area Rapid Transit,POINT (-122.265232 37.797357),0,,
MCAR,MacArthur,26,1000026,1000026,-122.267163,37.828814,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,26.0,Bay Area Rapid Transit,POINT (-122.267163 37.828814),0,,
MLBR,Millbrae (Caltrain Transfer Platform),27,1000027,1000027,-122.38684,37.600199,1,8,Red-N,Millbrae/Daly City to Richmond,metro_station,,,27.0,Bay Area Rapid Transit,POINT (-122.38684 37.600199),1,,
MLPT,Milpitas,28,1000028,1000028,-121.890803,37.409836,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,28.0,Bay Area Rapid Transit,POINT (-121.890803 37.409836),0,,
MONT,Montgomery Street,29,1000029,1000029,-122.401642,37.789213,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,29.0,Bay Area Rapid Transit,POINT (-122.401642 37.789213),0,,
NBRK,North Berkeley,30,1000030,1000030,-122.283508,37.874032,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,30.0,Bay Area Rapid Transit,POINT (-122.283508 37.874032),0,,
NCON,North Concord / Martinez,31,1000031,1000031,-122.024561,38.003407,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,31.0,Bay Area Rapid Transit,POINT (-122.024561 38.003407),0,,
OAKL,Oakland International Airport Station,32,1000032,1000032,-122.212237,37.713256,1,19,Beige-N,Oakland Airport to Coliseum,metro_station,,,32.0,Bay Area Rapid Transit,POINT (-122.212237 37.713256),1,,
ORIN,Orinda,33,1000033,1000033,-122.183717,37.878503,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,33.0,Bay Area Rapid Transit,POINT (-122.183717 37.878503),0,,
PCTR,Pittsburg Center,34,1000034,1000034,-121.889011,38.016873,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,34.0,Bay Area Rapid Transit,POINT (-121.889011 38.016873),0,,
PHIL,Pleasant Hill / Contra Costa Centre,35,1000035,1000035,-122.056015,37.928463,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,35.0,Bay Area Rapid Transit,POINT (-122.056015 37.928463),0,,
PITT,Pittsburg / Bay Point,36,1000036,1000036,-121.944248,38.01895,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,36.0,Bay Area Rapid Transit,POINT (-121.944248 38.01895),1,,
PLZA,El Cerrito Plaza,37,1000037,1000037,-122.298895,37.902633,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,37.0,Bay Area Rapid Transit,POINT (-122.298895 37.902633),0,,
POWL,Powell Street,38,1000038,1000038,-122.407387,37.784645,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,38.0,Bay Area Rapid Transit,POINT (-122.407387 37.784645),0,,
RICH,Richmond,39,1000039,1000039,-122.353004,37.936795,1,4,Orange-S,Richmond to Berryessa/North San Jose,metro_station,,,39.0,Bay Area Rapid Transit,POINT (-122.353004 37.936795),1,,
ROCK,Rockridge,40,1000040,1000040,-122.251271,37.844795,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,40.0,Bay Area Rapid Transit,POINT (-122.251271 37.844795),0,,
SANL,San Leandro,41,1000041,1000041,-122.160713,37.721806,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,41.0,Bay Area Rapid Transit,POINT (-122.160713 37.721806),0,,
SBRN,San Bruno,42,1000042,1000042,-122.416384,37.63772,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,42.0,Bay Area Rapid Transit,POINT (-122.416384 37.63772),0,,
SFIA,San Francisco International Airport,43,1000043,1000043,-122.391895,37.616023,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,43.0,Bay Area Rapid Transit,POINT (-122.391895 37.616023),1,,
SHAY,South Hayward,44,1000044,1000044,-122.057158,37.634363,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,44.0,Bay Area Rapid Transit,POINT (-122.057158 37.634363),0,,
SSAN,South San Francisco,45,1000045,1000045,-122.444254,37.664437,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,45.0,Bay Area Rapid Transit,POINT (-122.444254 37.664437),0,,
UCTY,Union City,46,1000046,1000046,-122.01723,37.590765,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,46.0,Bay Area Rapid Transit,POINT (-122.01723 37.590765),0,,
WARM,Warm Springs / South Fremont,47,1000047,1000047,-121.939358,37.502307,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,47.0,Bay Area Rapid Transit,POINT (-121.939358 37.502307),0,,
WCRK,Walnut Creek,48,1000048,1000048,-122.067379,37.905812,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_station,,,48.0,Bay Area Rapid Transit,POINT (-122.067379 37.905812),0,,
WDUB,West Dublin / Pleasanton,49,1000049,1000049,-121.928301,37.69976,1,12,Blue-N,Daly City to Dublin/Pleasanton,metro_station,,,49.0,Bay Area Rapid Transit,POINT (-121.928301 37.69976),0,,
WOAK,West Oakland,50,1000050,1000050,-122.295144,37.804923,1,5,Green-S,Berryessa/North San Jose to Daly City,metro_station,,,50.0,Bay Area Rapid Transit,POINT (-122.295144 37.804923),0,,
1.1.12TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,12th Street / Oakland City Center,1001,1500001,1000001,-122.271689,37.803371,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,,Bay Area Rapid Transit,POINT (-122.27168900000001 37.803371),0,,
1.1.12TH:0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,12th Street / Oakland City Center,1002,1500002,1000001,-122.271689,37.803371,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,Bay Area Rapid Transit,POINT (-122.27168900000001 37.803371),0,,
1.1.12TH:0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,12th Street / Oakland City Center,1003,1500003,1000001,-122.271689,37.803371,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,,Bay Area Rapid Transit,POINT (-122.27168900000001 37.803371),0,,
1.1.16TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,16th Street / Mission,1004,1500004,1000002,-122.419855,37.76507599999999,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,,Bay Area Rapid Transit,POINT (-122.419855 37.76507599999999),0,,
1.1.16TH:0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16th Street / Mission,1005,1500005,1000002,-122.419855,37.76507599999999,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,Bay Area Rapid Transit,POINT (-122.419855 37.76507599999999),0,,
1.1.16TH:0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,16th Street / Mission,1006,1500006,1000002,-122.419855,37.76507599999999,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,,Bay Area Rapid Transit,POINT (-122.419855 37.76507599999999),0,,
1.1.19TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,19th Street Oakland,1007,1500007,1000003,-122.268822,37.807959999999994,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,,Bay Area Rapid Transit,POINT (-122.268822 37.807959999999994),0,,
1.1.19TH:0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,19th Street Oakland,1008,1500008,1000003,-122.268822,37.807959999999994,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,Bay Area Rapid Transit,POINT (-122.268822 37.807959999999994),0,,
1.1.19TH:0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,19th Street Oakland,1009,1500009,1000003,-122.268822,37.807959999999994,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,,Bay Area Rapid Transit,POINT (-122.268822 37.807959999999994),0,,
1.1.24TH:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,24th Street / Mission,1010,1500010,1000004,-122.418618,37.752322,1,1,Yellow-S,Antioch to SFIA/Millbrae,metro_service_node,1.1,1.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,,Bay Area Rapid Transit,POINT (-122.41861800000001 37.752322),0,,
