route_key,mode,o_zone_id,d_zone_id,o_x_coord,o_y_coord,d_x_coord,d_y_coord,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,volume,WKT_geometry
1_2_transit,transit,1,2,-122.272,37.8035,-122.42,37.7652,9.27491,14.9233,8.51251,13.6966,1.08956,19.8564,21.6631,10,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.419755 37.765176)"
1_3_transit,transit,1,3,-122.272,37.8035,-122.269,37.8081,0.371284,0.597396,0.353597,0.568938,1.05002,1.85128,1.8513,4,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.268722 37.808060)"
1_4_transit,transit,1,4,-122.272,37.8035,-122.419,37.7524,10.1589,16.3457,8.76501,14.1029,1.15903,21.8574,23.6649,12,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.418518 37.752422)"
1_6_transit,transit,1,6,-122.272,37.8035,-122.27,37.8531,3.49023,5.61578,3.4284,5.51629,1.01803,9.85318,9.85349,5,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.269850 37.852969,-122.269750 37.853069)"
1_7_transit,transit,1,7,-122.272,37.8035,-122.448,37.7218,12.819,20.6257,11.1451,17.9325,1.15018,26.8595,28.6677,4,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.447510 37.721758)"
1_8_transit,transit,1,8,-122.272,37.8035,-122.126,37.6969,10.8861,17.5158,10.8199,17.4092,1.00612,19.8555,19.8718,3,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.126431 37.696938)"
1_9_transit,transit,1,9,-122.272,37.8035,-121.875,37.3685,37.8501,60.9009,37.0887,59.6757,1.02053,57.8633,57.8901,1,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.057258 37.634263,-122.017330 37.590665,-121.976705 37.557413,-121.939458 37.502207,-121.890903 37.409736,-121.874761 37.368395,-121.874661 37.368495)"
1_11_transit,transit,1,11,-122.272,37.8035,-122.414,37.7794,8.23755,13.2542,7.94453,12.7827,1.03688,17.8553,19.6607,44,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.413879 37.779450)"
1_13_transit,transit,1,13,-122.272,37.8035,-122.197,37.7536,5.39415,8.67919,5.34776,8.60455,1.00867,10.8534,10.866,6,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.196698 37.753604)"
1_14_transit,transit,1,14,-122.272,37.8035,-122.029,37.9738,19.3338,31.1081,17.6993,28.4781,1.09235,31.8579,31.858,2,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.124744 37.893120,-122.067479 37.905712,-122.056115 37.928363,-122.029226 37.973673,-122.029126 37.973773)"
1_15_transit,transit,1,15,-122.272,37.8035,-122.469,37.7063,14.4065,23.18,12.703,20.4391,1.1341,30.8605,32.6689,4,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.468994 37.706304)"
1_16_transit,transit,1,16,-122.272,37.8035,-122.268,37.8701,4.67191,7.5171,4.60883,7.41561,1.01369,11.8541,11.8545,17,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.268078 37.870117)"
1_17_transit,transit,1,17,-122.272,37.8035,-122.317,37.9252,9.54557,15.3588,8.76623,14.1049,1.0889,19.857,19.8574,8,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.269850 37.852969,-122.268178 37.870017,-122.283608 37.873932,-122.298995 37.902533,-122.316968 37.925105,-122.316868 37.925205)"
1_19_transit,transit,1,19,-122.272,37.8035,-122.397,37.7928,6.93693,11.1615,6.891,11.0876,1.00667,12.8523,14.5776,79,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.397080 37.792789)"
1_20_transit,transit,1,20,-122.272,37.8035,-121.977,37.5575,23.6084,37.9859,23.4308,37.7001,1.00758,37.8598,37.8865,3,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.057258 37.634263,-122.017330 37.590665,-121.976705 37.557413,-121.976605 37.557513)"
1_21_transit,transit,1,21,-122.272,37.8035,-122.224,37.7749,3.29743,5.30556,3.26154,5.24781,1.011,7.85235,7.86166,1,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.224067 37.774873)"
1_22_transit,transit,1,22,-122.272,37.8035,-122.434,37.7333,11.7169,18.8525,10.089,16.2331,1.16136,24.8584,26.6665,8,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.433557 37.733269)"
1_23_transit,transit,1,23,-122.272,37.8035,-122.087,37.6697,13.7497,22.1232,13.6817,22.0138,1.00497,23.8566,23.876,3,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.265332 37.797257,-122.224167 37.774773,-122.196798 37.753504,-122.160813 37.721706,-122.126531 37.696838,-122.087041 37.669631,-122.086941 37.669731)"
1_24_transit,transit,1,24,-122.272,37.8035,-122.125,37.8932,10.9513,17.6207,10.1356,16.3081,1.08048,18.8551,18.8551,2,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.251371 37.844695,-122.183817 37.878403,-122.124744 37.893120,-122.124644 37.893220)"
1_26_transit,transit,1,26,-122.272,37.8035,-122.267,37.8288,1.80808,2.90919,1.76764,2.84413,1.02288,5.85223,5.85227,8,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.268822 37.807960,-122.267263 37.828714,-122.267163 37.828814)"
1_27_transit,transit,1,27,-122.272,37.8035,-122.387,37.6002,23.2856,37.4665,15.3933,24.7679,1.5127,50.8657,59.146,2,"LINESTRING(-122.271589 37.803471,-122.271689 37.803371,-122.295244 37.804823,-122.397180 37.792689,-122.401742 37.789113,-122.407487 37.784545,-122.413979 37.779350,-122.419855 37.765076,-122.418618 37.752322,-122.433657 37.733169,-122.447610 37.721658,-122.469094 37.706204,-122.466267 37.684542,-122.444354 37.664337,-122.416484 37.637620,-122.391995 37.615923,-122.386940 37.600099,-122.386840 37.600199)"
