origin_zone_id,total_volume,number_of_destinations,avg_distance_mile,avg_travel_time_min,google_maps_link
1,389,39,8.81035,18.8215,"https://www.google.com/maps/search/?api=1&query=37.803471,-122.271589"
2,261,36,6.74707,14.7849,"https://www.google.com/maps/search/?api=1&query=37.765176,-122.419755"
3,379,38,9.80013,20.8591,"https://www.google.com/maps/search/?api=1&query=37.808060,-122.268722"
4,396,39,6.3544,14.341,"https://www.google.com/maps/search/?api=1&query=37.752422,-122.418518"
5,391,25,37.6529,66.3395,"https://www.google.com/maps/search/?api=1&query=37.995415,-121.780353"
6,171,29,11.3568,35.7436,"https://www.google.com/maps/search/?api=1&query=37.853069,-122.269750"
7,553,32,6.29859,14.1884,"https://www.google.com/maps/search/?api=1&query=37.721758,-122.447510"
8,387,28,16.4861,29.7358,"https://www.google.com/maps/search/?api=1&query=37.696938,-122.126431"
9,125,24,36.3332,54.3726,"https://www.google.com/maps/search/?api=1&query=37.368495,-121.874661"
10,167,13,19.3294,36.1236,"https://www.google.com/maps/search/?api=1&query=37.690776,-122.075615"
11,251,44,10.4478,20.6605,"https://www.google.com/maps/search/?api=1&query=37.779450,-122.413879"
12,251,21,8.7859,19.8669,"https://www.google.com/maps/search/?api=1&query=37.684642,-122.466167"
13,218,33,12.1565,23.7054,"https://www.google.com/maps/search/?api=1&query=37.753604,-122.196698"
14,430,24,22.9825,41.4649,"https://www.google.com/maps/search/?api=1&query=37.973773,-122.029126"
15,677,33,7.98513,17.6131,"https://www.google.com/maps/search/?api=1&query=37.706304,-122.468994"
16,151,28,12.2638,38.4239,"https://www.google.com/maps/search/?api=1&query=37.870117,-122.268078"
17,571,32,14.6417,42.2087,"https://www.google.com/maps/search/?api=1&query=37.925205,-122.316868"
18,326,16,29.6302,50.767,"https://www.google.com/maps/search/?api=1&query=37.701692,-121.899242"
19,242,39,9.90227,18.2743,"https://www.google.com/maps/search/?api=1&query=37.792789,-122.397080"
20,214,27,24.4563,40.0536,"https://www.google.com/maps/search/?api=1&query=37.557513,-121.976605"
21,509,33,11.7299,22.9511,"https://www.google.com/maps/search/?api=1&query=37.774873,-122.224067"
22,361,32,6.13908,13.8987,"https://www.google.com/maps/search/?api=1&query=37.733269,-122.433557"
23,320,29,16.7258,28.759,"https://www.google.com/maps/search/?api=1&query=37.669731,-122.086941"
24,262,16,17.2802,32.9559,"https://www.google.com/maps/search/?api=1&query=37.893220,-122.124644"
25,259,31,10.6326,20.8511,"https://www.google.com/maps/search/?api=1&query=37.797357,-122.265232"
26,368,40,10.4919,23.7626,"https://www.google.com/maps/search/?api=1&query=37.828814,-122.267163"
27,127,15,13.3394,30.2357,"https://www.google.com/maps/search/?api=1&query=37.600199,-122.386840"
28,81,21,32.2827,49.0459,"https://www.google.com/maps/search/?api=1&query=37.409836,-121.890803"
29,144,37,11.6073,22.0097,"https://www.google.com/maps/search/?api=1&query=37.789213,-122.401642"
30,195,26,12.3283,39.3241,"https://www.google.com/maps/search/?api=1&query=37.874032,-122.283508"
31,149,23,24.8811,44.4521,"https://www.google.com/maps/search/?api=1&query=38.003407,-122.024561"
32,0,0,0,0,"https://www.google.com/maps/search/?api=1&query=37.713256,-122.212237"
33,213,16,14.3154,28.3425,"https://www.google.com/maps/search/?api=1&query=37.878503,-122.183717"
34,100,19,29.2134,55.5361,"https://www.google.com/maps/search/?api=1&query=38.016873,-121.889011"
35,453,25,21.3522,39.7989,"https://www.google.com/maps/search/?api=1&query=37.928463,-122.056015"
36,457,23,29.7342,51.2238,"https://www.google.com/maps/search/?api=1&query=38.018950,-121.944248"
37,246,30,12.3735,37.6563,"https://www.google.com/maps/search/?api=1&query=37.902633,-122.298895"
38,274,40,11.7931,23.0218,"https://www.google.com/maps/search/?api=1&query=37.784645,-122.407387"
39,369,30,16.59,45.559,"https://www.google.com/maps/search/?api=1&query=37.936795,-122.353004"
40,259,17,11.0016,25.2304,"https://www.google.com/maps/search/?api=1&query=37.844795,-122.251271"
41,465,32,14.2175,26.7884,"https://www.google.com/maps/search/?api=1&query=37.721806,-122.160713"
42,145,17,12.4666,25.5881,"https://www.google.com/maps/search/?api=1&query=37.637720,-122.416384"
43,63,19,14.8228,29.0055,"https://www.google.com/maps/search/?api=1&query=37.616023,-122.391895"
44,249,25,18.4147,30.9182,"https://www.google.com/maps/search/?api=1&query=37.634363,-122.057158"
45,210,22,10.1423,22.3035,"https://www.google.com/maps/search/?api=1&query=37.664437,-122.444254"
46,223,26,23.1609,38.3702,"https://www.google.com/maps/search/?api=1&query=37.590765,-122.017230"
47,121,27,23.9048,37.82,"https://www.google.com/maps/search/?api=1&query=37.502307,-121.939358"
48,336,23,20.3273,37.927,"https://www.google.com/maps/search/?api=1&query=37.905812,-122.067379"
49,118,13,27.7132,47.1825,"https://www.google.com/maps/search/?api=1&query=37.699760,-121.928301"
50,588,34,7.03129,13.0335,"https://www.google.com/maps/search/?api=1&query=37.804923,-122.295144"
