path_id,service_route_id,o_zone_id,d_zone_id,unique_route_id,agent_type,demand_period,toll,travel_time,distance,link_sequence,node_sequence,geometry,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,seed_od_volume,target_od_volume,final_est_od_volume,volume
0,6,1,2,4,transit,AM,0,16.0777,14920.1,11;1028;1074;1050;1057;1063;1040;1029,1;383;406;394;398;401;389;384;2,,0.182617,1;383;406;394;398;401;389;384;2,11;1028;1074;1050;1057;1063;1040;1029,9.27291,14.9201,16.0776,16.0777,2758_7352,10,0,10,1.82617
1,1,1,2,2,transit,AM,0,16.0777,14920.1,2;384;525;440;464;492;416;389,1;52;124;80;92;106;68;55;2,,0.143564,1;52;124;80;92;106;68;55;2,2;384;525;440;464;492;416;389,9.27291,14.9201,16.0776,16.0777,580_3112,10,0,10,1.43564
2,2,1,2,3,transit,AM,0,16.0777,14920.1,3;386;527;442;466;494;418;391,1;53;125;81;93;107;69;56;2,,0.0558212,1;53;125;81;93;107;69;56;2,3;386;527;442;466;494;418;391,9.27291,14.9201,16.0776,16.0777,587_3127,10,0,10,0.558212
3,0,1,2,1,transit,AM,0,16.0777,14920.1,1;382;523;438;462;490;414;387,1;51;123;79;91;105;67;54;2,,0.617998,1;51;123;79;91;105;67;54;2,1;382;523;438;462;490;414;387,9.27291,14.9201,16.0776,16.0777,573_3097,10,0,10,6.17998
4,8,1,3,3,transit,AM,0,0.817496,597.268,6;606;617,1;166;172;3,,0,1;166;172;3,6;606;617,0.371205,0.597268,0.817496,0.817496,342_1229,4,0,4,0
5,1,1,3,2,transit,AM,0,0.817496,597.268,5;604;615,1;165;171;3,,0.869169,1;165;171;3,5;604;615,0.371205,0.597268,0.817496,0.817496,340_1224,4,0,4,3.47668
6,0,1,3,1,transit,AM,0,0.817496,597.268,4;602;613,1;164;170;3,,0.130831,1;164;170;3,4;602;613,0.371205,0.597268,0.817496,0.817496,338_1219,4,0,4,0.523324
7,6,1,4,4,transit,AM,0,17.5928,16342.2,11;1028;1074;1050;1057;1063;1040;1030;1033,1;383;406;394;398;401;389;384;386;4,,0.182617,1;383;406;394;398;401;389;384;386;4,11;1028;1074;1050;1057;1063;1040;1030;1033,10.1567,16.3422,17.5927,17.5928,3146_8386,12,0,12,2.19141
8,2,1,4,3,transit,AM,0,17.5928,16342.2,3;386;527;442;466;494;418;392;403,1;53;125;81;93;107;69;56;62;4,,0.0558212,1;53;125;81;93;107;69;56;62;4,3;386;527;442;466;494;418;392;403,10.1567,16.3422,17.5927,17.5928,651_3531,12,0,12,0.669855
9,1,1,4,2,transit,AM,0,17.5928,16342.2,2;384;525;440;464;492;416;390;401,1;52;124;80;92;106;68;55;61;4,,0.143564,1;52;124;80;92;106;68;55;61;4,2;384;525;440;464;492;416;390;401,10.1567,16.3422,17.5927,17.5928,643_3514,12,0,12,1.72276
10,0,1,4,1,transit,AM,0,17.5928,16342.2,1;382;523;438;462;490;414;388;399,1;51;123;79;91;105;67;54;60;4,,0.617998,1;51;123;79;91;105;67;54;60;4,1;382;523;438;462;490;414;388;399,10.1567,16.3422,17.5927,17.5928,635_3497,12,0,12,7.41598
11,2,1,6,3,transit,AM,0,6.16309,5614.57,8;754;760;820;765,1;242;245;275;248;6,,0.800639,1;242;245;275;248;6,8;754;760;820;765,3.48948,5.61457,6.16309,6.16309,1017_3107,5,0,5,4.00319
12,1,1,6,2,transit,AM,0,6.1631,5614.57,9;756;762;822;767,1;243;246;276;249;6,,0.0685305,1;243;246;276;249;6,9;756;762;822;767,3.48948,5.61457,6.16309,6.1631,1021_3116,5,0,5,0.342653
13,0,1,6,1,transit,AM,0,6.16315,5614.57,7;752;758;818;763,1;241;244;274;247;6,,0.130831,1;241;244;274;247;6,7;752;758;818;763,3.48948,5.61457,6.16309,6.16315,1013_3098,5,0,5,0.654155
14,6,1,7,4,transit,AM,0,22.1519,20621.3,11;1028;1074;1050;1057;1063;1040;1030;1034;1052;1037,1;383;406;394;398;401;389;384;386;395;388;7,,0.182617,1;383;406;394;398;401;389;384;386;395;388;7,11;1028;1074;1050;1057;1063;1040;1030;1034;1052;1037,12.8162,20.6213,22.1518,22.1519,3932_10476,4,0,4,0.730469
15,2,1,7,3,transit,AM,0,22.1519,20621.3,3;386;527;442;466;494;418;392;404;448;411,1;53;125;81;93;107;69;56;62;84;66;7,,0.0558212,1;53;125;81;93;107;69;56;62;84;66;7,3;386;527;442;466;494;418;392;404;448;411,12.8162,20.6213,22.1518,22.1519,804_4391,4,0,4,0.223285
16,1,1,7,2,transit,AM,0,22.1519,20621.3,2;384;525;440;464;492;416;390;402;446;409,1;52;124;80;92;106;68;55;61;83;65;7,,0.143564,1;52;124;80;92;106;68;55;61;83;65;7,2;384;525;440;464;492;416;390;402;446;409,12.8162,20.6213,22.1518,22.1519,794_4370,4,0,4,0.574255
17,0,1,7,1,transit,AM,0,22.1519,20621.3,1;382;523;438;462;490;414;388;400;444;407,1;51;123;79;91;105;67;54;60;82;64;7,,0.617998,1;51;123;79;91;105;67;54;60;82;64;7,1;382;523;438;462;490;414;388;400;444;407,12.8162,20.6213,22.1518,22.1519,784_4349,4,0,4,2.47199
18,0,1,8,1,transit,AM,0,18.8391,17512,10;859;880;876;868;892;864,1;296;307;305;301;313;299;8,,1,1;296;307;305;301;313;299;8,10;859;880;876;868;892;864,10.8838,17.512,18.8391,18.8391,1830_5249,3,0,3,3
19,0,1,9,1,transit,AM,0,65.0534,60887.8,10;859;880;876;868;892;865;878;894;896;874;898;884;866,1;296;307;305;301;313;299;306;314;315;304;316;309;300;9,,1,1;296;307;305;301;313;299;306;314;315;304;316;309;300;9,10;859;880;876;868;892;865;878;894;896;874;898;884;866,37.842,60.8878,65.0534,65.0534,3995_11440,1,0,1,1
20,6,1,11,4,transit,AM,0,14.2997,13251.4,11;1028;1074;1050;1057;1063;1039,1;383;406;394;398;401;389;11,,0.182617,1;383;406;394;398;401;389;11,11;1028;1074;1050;1057;1063;1039,8.23578,13.2514,14.2996,14.2997,2383_6322,44,0,44,8.03516
21,2,1,11,3,transit,AM,0,14.2997,13251.4,3;386;527;442;466;494;417,1;53;125;81;93;107;69;11,,0.0558212,1;53;125;81;93;107;69;11,3;386;527;442;466;494;417,8.23578,13.2514,14.2996,14.2997,540_2735,44,0,44,2.45613
22,1,1,11,2,transit,AM,0,14.2997,13251.4,2;384;525;440;464;492;415,1;52;124;80;92;106;68;11,,0.143564,1;52;124;80;92;106;68;11,2;384;525;440;464;492;415,8.23578,13.2514,14.2996,14.2997,534_2722,44,0,44,6.3168
23,0,1,11,1,transit,AM,0,14.2997,13251.4,1;382;523;438;462;490;413,1;51;123;79;91;105;67;11,,0.617998,1;51;123;79;91;105;67;11,1;382;523;438;462;490;413,8.23578,13.2514,14.2996,14.2997,528_2709,44,0,44,27.1919
24,0,1,13,1,transit,AM,0,9.4263,8677.32,10;859;880;876;867,1;296;307;305;301;13,,1,1;296;307;305;301;13,10;859;880;876;867,5.39299,8.67732,9.4263,9.4263,1223_3492,6,0,6,6
25,1,1,14,2,transit,AM,0,33.3176,31101.4,5;604;616;676;721;694;670;739;704;645,1;165;171;202;225;211;199;234;216;187;14,,0.869169,1;165;171;202;225;211;199;234;216;187;14,5;604;616;676;721;694;670;739;704;645,19.3296,31.1014,33.3176,33.3176,1825_6074,2,0,2,1.73834
26,0,1,14,1,transit,AM,0,33.3176,31101.4,4;602;614;674;719;692;668;737;702;643,1;164;170;201;224;210;198;233;215;186;14,,0.130831,1;164;170;201;224;210;198;233;215;186;14,4;602;614;674;719;692;668;737;702;643,19.3296,31.1014,33.3176,33.3176,1816_6055,2,0,2,0.261662
27,6,1,15,4,transit,AM,0,24.8727,23175,11;1028;1074;1050;1057;1063;1040;1030;1034;1052;1038;1043,1;383;406;394;398;401;389;384;386;395;388;391;15,,0.182617,1;383;406;394;398;401;389;384;386;395;388;391;15,11;1028;1074;1050;1057;1063;1040;1030;1034;1052;1038;1043,14.4034,23.175,24.8727,24.8727,4331_11520,4,0,4,0.730469
28,2,1,15,3,transit,AM,0,24.8727,23175,3;386;527;442;466;494;418;392;404;448;412;435,1;53;125;81;93;107;69;56;62;84;66;78;15,,0.0558212,1;53;125;81;93;107;69;56;62;84;66;78;15,3;386;527;442;466;494;418;392;404;448;412;435,14.4034,23.175,24.8727,24.8727,890_4827,4,0,4,0.223285
29,1,1,15,2,transit,AM,0,24.8727,23175,2;384;525;440;464;492;416;390;402;446;410;433,1;52;124;80;92;106;68;55;61;83;65;77;15,,0.143564,1;52;124;80;92;106;68;55;61;83;65;77;15,2;384;525;440;464;492;416;390;402;446;410;433,14.4034,23.175,24.8727,24.8727,879_4804,4,0,4,0.574255
30,0,1,15,1,transit,AM,0,24.8727,23175,1;382;523;438;462;490;414;388;400;444;408;431,1;51;123;79;91;105;67;54;60;82;64;76;15,,0.617998,1;51;123;79;91;105;67;54;60;82;64;76;15,1;382;523;438;462;490;414;388;400;444;408;431,14.4034,23.175,24.8727,24.8727,868_4781,4,0,4,2.47199
31,2,1,16,3,transit,AM,0,8.18839,7515.49,8;754;760;820;766;785,1;242;245;275;248;258;16,,0.800639,1;242;245;275;248;258;16,8;754;760;820;766;785,4.67091,7.51549,8.18839,8.18839,1285_3893,17,0,17,13.6109
32,1,1,16,2,transit,AM,0,8.1884,7515.49,9;756;762;822;768;787,1;243;246;276;249;259;16,,0.0685305,1;243;246;276;249;259;16,9;756;762;822;768;787,4.67091,7.51549,8.18839,8.1884,1290_3904,17,0,17,1.16502
