directed_route_id,start_time,end_time,year,months,cycle_time,frequency_monday,frequency_tuesday,frequency_wednesday,frequency_thursday,frequency_friday,frequency_saturday,frequency_sunday
1.1,07:00,08:00,2024,1,103.0,6,6,6,6,6,3,3
11.1,07:00,08:00,2024,1,64.0,3,3,3,3,3,3,2
12.2,07:00,08:00,2024,1,63.0,3,3,3,3,3,3,0
19.2,07:00,08:00,2024,1,9.0,10,10,10,10,10,10,1
2.2,07:00,08:00,2024,1,105.0,6,6,6,6,6,3,2
20.1,07:00,08:00,2024,1,8.0,10,10,10,10,10,10,0
3.2,07:00,08:00,2024,1,78.0,3,3,3,3,3,3,3
4.1,07:00,08:00,2024,1,83.0,3,3,3,3,3,3,1
5.1,07:00,08:00,2024,1,82.0,3,3,3,3,3,3,3
6.2,07:00,08:00,2024,1,83.0,3,3,3,3,3,3,2
7.1,07:00,08:00,2024,1,76.0,3,3,3,3,3,3,1
8.2,07:00,08:00,2024,1,74.0,3,3,3,3,3,3,0
