directed_route_id,station_ids,station_names,number_of_stations,station_to_station_distance_m,average_spacing,unit
1.1,PITT;NCON;CONC;PHIL;WCRK;LAFY;ORIN;ROCK;MCAR;19TH;12TH;WOAK;EMBR;MONT;POWL;CIVC;16TH;24TH;GLEN;BALB;DALY;COLM;SSAN;SBRN;SFIA,Pittsburg / Bay Point;North Concord / Martinez;Concord;Pleasant Hill / Contra Costa Centre;Walnut Creek;Lafayette;Orinda;Rockridge;MacArthur;19th Street Oakland;12th Street / Oakland City Center;West Oakland;Embarcadero;Montgomery Street;Powell Street;Civic Center / UN Plaza;16th Street / Mission;24th Street / Mission;Glen Park;Balboa Park;Daly City;Colma;South San Francisco;San Bruno;San Francisco International Airport,25,7245.3;3319.3;5562.6;2708.8;5216.0;5436.3;7015.6;2259.5;2311.8;569.1;2075.7;9057.4;564.6;716.2;811.9;1669.1;1422.3;2506.9;1773.2;2554.3;2421.5;2960.9;3853.0;3236.0,3219.5,meter
11.1,DUBL;WDUB;CAST;BAYF;SANL;COLS;FTVL;LAKE;WOAK;EMBR;MONT;POWL;CIVC;16TH;24TH;GLEN;BALB;DALY,Dublin / Pleasanton;West Dublin / Pleasanton;Castro Valley;Bay Fair;San Leandro;Coliseum;Fruitvale;Lake Merritt;West Oakland;Embarcadero;Montgomery Street;Powell Street;Civic Center / UN Plaza;16th Street / Mission;24th Street / Mission;Glen Park;Balboa Park;Daly City,18,2565.6;13000.0;4523.4;4091.6;4745.0;3373.6;4397.4;2759.4;9057.4;564.6;716.2;811.9;1669.1;1422.3;2506.9;1773.2;2554.3,3560.7,meter
12.2,DALY;BALB;GLEN;24TH;16TH;CIVC;POWL;MONT;EMBR;WOAK;LAKE;FTVL;COLS;SANL;BAYF;CAST;WDUB;DUBL,Daly City;Balboa Park;Glen Park;24th Street / Mission;16th Street / Mission;Civic Center / UN Plaza;Powell Street;Montgomery Street;Embarcadero;West Oakland;Lake Merritt;Fruitvale;Coliseum;San Leandro;Bay Fair;Castro Valley;West Dublin / Pleasanton;Dublin / Pleasanton,18,2554.3;1773.2;2506.9;1422.3;1669.1;811.9;716.2;564.6;9057.4;2759.4;4397.4;3373.6;4745.0;4091.6;4523.4;13000.0;2565.6,3560.7,meter
19.2,OAKL;COLS,Oakland International Airport Station;Coliseum,2,4690.0,4690.0,meter
2.2,SFIA;SBRN;SSAN;COLM;DALY;BALB;GLEN;24TH;16TH;CIVC;POWL;MONT;EMBR;WOAK;12TH;19TH;MCAR;ROCK;ORIN;LAFY;WCRK;PHIL;CONC;NCON;PITT;PCTR;ANTC,San Francisco International Airport;San Bruno;South San Francisco;Colma;Daly City;Balboa Park;Glen Park;24th Street / Mission;16th Street / Mission;Civic Center / UN Plaza;Powell Street;Montgomery Street;Embarcadero;West Oakland;12th Street / Oakland City Center;19th Street Oakland;MacArthur;Rockridge;Orinda;Lafayette;Walnut Creek;Pleasant Hill / Contra Costa Centre;Concord;North Concord / Martinez;Pittsburg / Bay Point;Pittsburg Center;Antioch,27,3236.0;3853.0;2960.9;2421.5;2554.3;1773.2;2506.9;1422.3;1669.1;811.9;716.2;564.6;9057.4;2075.7;569.1;2311.8;2259.5;7015.6;5436.3;5216.0;2708.8;5562.6;3319.3;7245.3;4844.4;9814.6,3535.6,meter
20.1,COLS;OAKL,Coliseum;Oakland International Airport Station,2,4690.0,4690.0,meter
3.2,BERY;MLPT;WARM;FRMT;UCTY;SHAY;HAYW;BAYF;SANL;COLS;FTVL;LAKE;12TH;19TH;MCAR;ASHB;DBRK;NBRK;PLZA;DELN;RICH,Berryessa / North San Jose;Milpitas;Warm Springs / South Fremont;Fremont;Union City;South Hayward;Hayward;Bay Fair;San Leandro;Coliseum;Fruitvale;Lake Merritt;12th Street / Oakland City Center;19th Street Oakland;MacArthur;Ashby;Downtown Berkeley;North Berkeley;El Cerrito Plaza;El Cerrito Del Norte;Richmond,21,4813.0;11139.8;6962.1;5146.8;5989.3;4726.7;4607.5;4091.6;4745.0;3373.6;4397.4;879.9;569.1;2311.8;2706.6;1901.3;1422.6;3455.1;2964.0;3421.3,3981.2,meter
4.1,RICH;DELN;PLZA;NBRK;DBRK;ASHB;MCAR;19TH;12TH;LAKE;FTVL;COLS;SANL;BAYF;HAYW;SHAY;UCTY;FRMT;WARM;MLPT;BERY,Richmond;El Cerrito Del Norte;El Cerrito Plaza;North Berkeley;Downtown Berkeley;Ashby;MacArthur;19th Street Oakland;12th Street / Oakland City Center;Lake Merritt;Fruitvale;Coliseum;San Leandro;Bay Fair;Hayward;South Hayward;Union City;Fremont;Warm Springs / South Fremont;Milpitas;Berryessa / North San Jose,21,3421.3;2964.0;3455.1;1422.6;1901.3;2706.6;2311.8;569.1;879.9;4397.4;3373.6;4745.0;4091.6;4607.5;4726.7;5989.3;5146.8;6962.1;11139.8;4813.0,3981.2,meter
5.1,BERY;MLPT;WARM;FRMT;UCTY;SHAY;HAYW;BAYF;SANL;COLS;FTVL;LAKE;WOAK;EMBR;MONT;POWL;CIVC;16TH;24TH;GLEN;BALB;DALY,Berryessa / North San Jose;Milpitas;Warm Springs / South Fremont;Fremont;Union City;South Hayward;Hayward;Bay Fair;San Leandro;Coliseum;Fruitvale;Lake Merritt;West Oakland;Embarcadero;Montgomery Street;Powell Street;Civic Center / UN Plaza;16th Street / Mission;24th Street / Mission;Glen Park;Balboa Park;Daly City,22,4813.0;11139.8;6962.1;5146.8;5989.3;4726.7;4607.5;4091.6;4745.0;3373.6;4397.4;2759.4;9057.4;564.6;716.2;811.9;1669.1;1422.3;2506.9;1773.2;2554.3,3991.8,meter
6.2,DALY;BALB;GLEN;24TH;16TH;CIVC;POWL;MONT;EMBR;WOAK;LAKE;FTVL;COLS;SANL;BAYF;HAYW;SHAY;UCTY;FRMT;WARM;MLPT;BERY,Daly City;Balboa Park;Glen Park;24th Street / Mission;16th Street / Mission;Civic Center / UN Plaza;Powell Street;Montgomery Street;Embarcadero;West Oakland;Lake Merritt;Fruitvale;Coliseum;San Leandro;Bay Fair;Hayward;South Hayward;Union City;Fremont;Warm Springs / South Fremont;Milpitas;Berryessa / North San Jose,22,2554.3;1773.2;2506.9;1422.3;1669.1;811.9;716.2;564.6;9057.4;2759.4;4397.4;3373.6;4745.0;4091.6;4607.5;4726.7;5989.3;5146.8;6962.1;11139.8;4813.0,3991.8,meter
7.1,RICH;DELN;PLZA;NBRK;DBRK;ASHB;MCAR;19TH;12TH;WOAK;EMBR;MONT;POWL;CIVC;16TH;24TH;GLEN;BALB;DALY;COLM;SSAN;SBRN;SFIA;SFIA;MLBR,Richmond;El Cerrito Del Norte;El Cerrito Plaza;North Berkeley;Downtown Berkeley;Ashby;MacArthur;19th Street Oakland;12th Street / Oakland City Center;West Oakland;Embarcadero;Montgomery Street;Powell Street;Civic Center / UN Plaza;16th Street / Mission;24th Street / Mission;Glen Park;Balboa Park;Daly City;Colma;South San Francisco;San Bruno;San Francisco International Airport;San Francisco International Airport;Millbrae (Caltrain Transfer Platform),25,3421.3;2964.0;3455.1;1422.6;1901.3;2706.6;2311.8;569.1;2075.7;9057.4;564.6;716.2;811.9;1669.1;1422.3;2506.9;1773.2;2554.3;2421.5;2960.9;3853.0;3236.0;0.0;1815.0,2341.2,meter
8.2,MLBR;SFIA;SFIA;SBRN;SSAN;COLM;DALY;BALB;GLEN;24TH;16TH;CIVC;POWL;MONT;EMBR;WOAK;12TH;19TH;MCAR;ASHB;DBRK;NBRK;PLZA;DELN;RICH,Millbrae (Caltrain Transfer Platform);San Francisco International Airport;San Francisco International Airport;San Bruno;South San Francisco;Colma;Daly City;Balboa Park;Glen Park;24th Street / Mission;16th Street / Mission;Civic Center / UN Plaza;Powell Street;Montgomery Street;Embarcadero;West Oakland;12th Street / Oakland City Center;19th Street Oakland;MacArthur;Ashby;Downtown Berkeley;North Berkeley;El Cerrito Plaza;El Cerrito Del Norte;Richmond,25,1815.0;0.0;3236.0;3853.0;2960.9;2421.5;2554.3;1773.2;2506.9;1422.3;1669.1;811.9;716.2;564.6;9057.4;2075.7;569.1;2311.8;2706.6;1901.3;1422.6;3455.1;2964.0;3421.3,2341.2,meter
