link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500026,1500003,bus,1,100512.1,1,service_links,709.9670582693869,17,999999,21.288367564299456,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.304146 47.317543, -122.313187 47.3193321)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,1,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000002,1500003,1500004,bus,1,100512.1,1,service_links,386.4250795895932,17,999999,23.16234243294265,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.313187 47.3193321, -122.313179 47.3228073)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,29,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000003,1500004,1500005,bus,1,100512.1,1,service_links,412.8203555861016,17,999999,24769.221335166094,0,0.0,16999983,0.15,4,0,"LINESTRING (-122.313179 47.3228073, -122.312904 47.3265152)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,32,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000004,1500005,1500006,bus,1,100512.1,1,service_links,992.7975500310464,17,999999,29.76904197994142,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.312904 47.3265152, -122.31192 47.3354187)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,40,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000005,1500006,1500007,bus,1,100512.1,1,service_links,941.3528401382018,17,999999,28.226471968161977,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.31192 47.3354187, -122.312111 47.3438835)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,58,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000006,1500007,1500008,bus,1,100512.1,1,service_links,554.5524256164205,17,999999,33273.14553698523,0,0.0,16999983,0.15,4,0,"LINESTRING (-122.312111 47.3438835, -122.312286 47.3488693)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,67,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000007,1500008,1500009,bus,1,100512.1,1,service_links,688.5731309325855,17,999999,20.646870492731203,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.312286 47.3488693, -122.310776 47.3549767)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,72,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000008,1500009,1500010,bus,1,100512.1,1,service_links,479.5468908652094,17,999999,28772.81345191256,0,0.0,16999983,0.15,4,0,"LINESTRING (-122.310776 47.3549767, -122.308624 47.3590355)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,88,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000009,1500010,1500011,bus,1,100512.1,1,service_links,310.2363188493862,17,999999,18.595583547415757,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.308624 47.3590355, -122.307274 47.3616714)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,93,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000010,1500011,1500012,bus,1,100512.1,1,service_links,921.4850894038061,17,999999,27.630737313457455,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.307274 47.3616714, -122.303177 47.3694801)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,97,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000011,1500012,1500013,bus,1,100512.1,1,service_links,833.5229238052724,17,999999,49.96141401430205,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.303177 47.3694801, -122.299461 47.3765411)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,104,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000012,1500013,1500014,bus,1,100512.1,1,service_links,534.6528253327167,17,999999,32.047122397565445,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.299461 47.3765411, -122.297592 47.3811798)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,107,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000013,1500014,1500001,bus,1,100512.1,1,service_links,574.9942345560172,17,999999,34.465188884476554,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.297592 47.3811798, -122.296333 47.3862801)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,118,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000014,1500001,1500015,bus,1,100512.1,1,service_links,949.0334734431967,17,999999,28.456775815388212,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.296333 47.3862801, -122.294678 47.3947411)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,123,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000015,1500015,1500016,bus,1,100512.1,1,service_links,775.7600169911145,17,999999,46.499101917549325,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.294678 47.3947411, -122.297539 47.4014435)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,138,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000016,1500016,1500017,bus,1,100512.1,1,service_links,823.5019977024147,17,999999,24.692713574285296,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.297539 47.4014435, -122.297958 47.408844)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,152,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000017,1500017,1500018,bus,1,100512.1,1,service_links,778.0144674550427,17,999999,23.328769638831865,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.297958 47.408844, -122.297043 47.4158134)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,170,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000018,1500018,1500019,bus,1,100512.1,1,service_links,844.2986813371955,17,999999,50.60731356666508,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.297043 47.4158134, -122.296074 47.423378)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,175,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000019,1500019,1500020,bus,1,100512.1,1,service_links,528.8667373324781,17,999999,31.700303936012677,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.296074 47.423378, -122.295456 47.4281158)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,180,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000020,1500020,1500021,bus,1,100512.1,1,service_links,774.169798682933,17,999999,23.213487216879553,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.295456 47.4281158, -122.295349 47.4350777)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,186,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000021,1500021,1500022,bus,1,100512.1,1,service_links,846.3351268453803,17,999999,25.37736512280001,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.295349 47.4350777, -122.295883 47.4426804)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,195,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000022,1500022,1500023,bus,1,100512.1,1,service_links,349.1453168776886,17,999999,20.927791221439875,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.295883 47.4426804, -122.296127 47.445816)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,205,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000023,1500023,1500024,bus,1,100512.1,1,service_links,604.622451452267,17,999999,36.241105981154874,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.296127 47.445816, -122.295662 47.4512444)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,210,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000024,1500024,1500002,bus,1,100512.1,1,service_links,1044.5154685878924,17,999999,20.883348255672626,0,3.0,16999983,0.15,4,0,"LINESTRING (-122.295662 47.4512444, -122.291267 47.4601555)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,225,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000025,1500002,1500025,bus,1,100512.1,1,service_links,497.704118979673,17,999999,9.950765457774203,0,3.0,16999983,0.15,4,0,"LINESTRING (-122.291267 47.4601555, -122.288452 47.4642067)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,235,100512.1:1;29;32;40;58;67;72;88;93;97;104;107;118;123;138;152;170;175;180;186;195;205;210;225;235;262
1000026,1500028,1500029,bus,1,100512.2,1,service_links,681.4016515772263,17,999999,20.43183363050154,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.288452 47.4642067, -122.292412 47.4586945)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,1,100512.2:1;31;45;58;67;79;90;93;97;105;125;142;148;153;164;167;172;175;180;198;204;225;233;238;262
1000027,1500029,1500030,bus,1,100512.2,1,service_links,983.9788103322657,17,999999,58.97974887106488,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.292412 47.4586945, -122.296318 47.4502487)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,31,100512.2:1;31;45;58;67;79;90;93;97;105;125;142;148;153;164;167;172;175;180;198;204;225;233;238;262
1000028,1500030,1500031,bus,1,100512.2,1,service_links,548.1120958651339,17,999999,16.43514530330237,0,2.0,16999983,0.15,4,0,"LINESTRING (-122.296318 47.4502487, -122.29644 47.4453201)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,45,100512.2:1;31;45;58;67;79;90;93;97;105;125;142;148;153;164;167;172;175;180;198;204;225;233;238;262
1000029,1500031,1500032,bus,1,100512.2,1,service_links,623.1929666276751,17,999999,37.35422377388662,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.29644 47.4453201, -122.296104 47.4397202)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,58,100512.2:1;31;45;58;67;79;90;93;97;105;125;142;148;153;164;167;172;175;180;198;204;225;233;238;262
1000030,1500032,1500033,bus,1,100512.2,1,service_links,648.1521352183428,17,999999,38.8502778352653,0,1.0,16999983,0.15,4,0,"LINESTRING (-122.296104 47.4397202, -122.295662 47.4338989)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Metro Transit,67,100512.2:1;31;45;58;67;79;90;93;97;105;125;142;148;153;164;167;172;175;180;198;204;225;233;238;262
