name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
10325,1000001,1000001,-122.33345,47.6266136,3,102576,stop,,,,Metro Transit,POINT (-122.33345 47.6266136),1,,
10328,1000002,1000002,-122.334106,47.6260338,3,102576,stop,,,,Metro Transit,POINT (-122.334106 47.6260338),1,,
13600,1000003,1000003,-122.376915,47.6901588,3,102581,stop,,,,Metro Transit,POINT (-122.376915 47.6901588),0,,
13620,1000004,1000004,-122.3769,47.6862793,3,102581,stop,,,,Metro Transit,POINT (-122.3769 47.6862793),0,,
13640,1000005,1000005,-122.376892,47.682991,3,102581,stop,,,,Metro Transit,POINT (-122.376892 47.682991),0,,
13660,1000006,1000006,-122.376877,47.6788483,3,102581,stop,,,,Metro Transit,POINT (-122.376877 47.6788483),0,,
13670,1000007,1000007,-122.376686,47.6760826,3,102581,stop,,,,Metro Transit,POINT (-122.376686 47.6760826),0,,
13700,1000008,1000008,-122.376312,47.6724358,3,102581,stop,,,,Metro Transit,POINT (-122.376312 47.6724358),0,,
13721,1000009,1000009,-122.376312,47.6689072,3,102581,stop,,,,Metro Transit,POINT (-122.376312 47.6689072),0,,
13760,1000010,1000010,-122.37648,47.6631432,3,102581,stop,,,,Metro Transit,POINT (-122.37648 47.6631432),0,,
13770,1000011,1000011,-122.376328,47.6534042,3,102581,stop,,,,Metro Transit,POINT (-122.376328 47.6534042),0,,
13800,1000012,1000012,-122.376877,47.6480637,3,102581,stop,,,,Metro Transit,POINT (-122.376877 47.6480637),0,,
13810,1000013,1000013,-122.376328,47.644825,3,102581,stop,,,,Metro Transit,POINT (-122.376328 47.644825),0,,
13830,1000014,1000014,-122.376312,47.6401825,3,102581,stop,,,,Metro Transit,POINT (-122.376312 47.6401825),0,,
13840,1000015,1000015,-122.376305,47.6372871,3,102581,stop,,,,Metro Transit,POINT (-122.376305 47.6372871),0,,
13870,1000016,1000016,-122.375305,47.6318817,3,102581,stop,,,,Metro Transit,POINT (-122.375305 47.6318817),0,,
13890,1000017,1000017,-122.371849,47.6291351,3,102581,stop,,,,Metro Transit,POINT (-122.371849 47.6291351),0,,
13910,1000018,1000018,-122.360809,47.6245308,3,102581,stop,,,,Metro Transit,POINT (-122.360809 47.6245308),0,,
14038,1000019,1000019,-122.361153,47.6246681,3,102581,stop,,,,Metro Transit,POINT (-122.361153 47.6246681),0,,
1404,1000020,1000020,-122.329758,47.6008034,3,102615,stop,,,,Metro Transit,POINT (-122.329758 47.6008034),1,,
14070,1000021,1000021,-122.371414,47.6290131,3,102581,stop,,,,Metro Transit,POINT (-122.371414 47.6290131),0,,
14090,1000022,1000022,-122.37529,47.6320915,3,102581,stop,,,,Metro Transit,POINT (-122.37529 47.6320915),0,,
14110,1000023,1000023,-122.376099,47.6370888,3,102581,stop,,,,Metro Transit,POINT (-122.376099 47.6370888),0,,
14130,1000024,1000024,-122.376114,47.6409225,3,102581,stop,,,,Metro Transit,POINT (-122.376114 47.6409225),0,,
14150,1000025,1000025,-122.376122,47.6449356,3,102581,stop,,,,Metro Transit,POINT (-122.376122 47.6449356),0,,
14170,1000026,1000026,-122.376045,47.6491623,3,102581,stop,,,,Metro Transit,POINT (-122.376045 47.6491623),0,,
14190,1000027,1000027,-122.376122,47.6539421,3,102581,stop,,,,Metro Transit,POINT (-122.376122 47.6539421),0,,
