service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
121526,1,1,1,1,1,0,0,20231002,20240329
121091,0,1,1,0,1,0,0,20230926,20240329
118746,0,1,1,0,1,0,0,20230926,20240329
117984,0,1,1,0,1,0,0,20231002,20240329
117769,0,1,1,0,0,0,0,20230926,20240329
115901,0,1,1,0,0,0,0,20231002,20240329
115639,0,1,1,0,1,0,0,20231002,20240329
115209,0,1,1,0,0,0,0,20231002,20240329
106312,0,0,0,0,0,0,0,20230926,20240329
103265,0,0,0,0,0,0,0,20230926,20240329
103205,0,0,0,0,0,0,0,20231002,20240329
100158,0,0,0,0,0,0,0,20231002,20240329
98804,0,0,0,0,0,0,0,20230926,20240329
95697,0,0,0,0,0,0,0,20231002,20240329
82104,0,0,0,0,0,0,0,20230926,20240329
79986,0,0,0,0,0,0,0,20231002,20240329
37998,0,0,1,0,0,0,0,20231004,20240327
31023,0,0,0,0,0,1,0,20230930,20240323
29830,0,0,0,0,0,1,0,20230930,20240323
28248,0,0,0,0,0,1,0,20230930,20240323
27546,0,0,0,0,0,0,1,20231001,20240324
25841,0,0,0,0,0,0,1,20231001,20240324
25201,0,0,0,0,0,0,1,20231001,20240324
24128,0,0,0,0,0,0,0,20230927,20240327
23139,0,0,0,0,0,0,0,20231004,20240327
22287,0,0,0,0,0,0,0,20231013,20240322
21659,0,0,0,0,0,0,1,20231001,20240324
17826,0,0,0,0,0,0,0,20231013,20240223
14779,0,0,0,0,0,0,0,20231020,20240308
3107,0,1,1,1,1,0,0,20230926,20230929
2247,0,0,0,0,1,0,0,20230929,20231013
2118,0,1,0,1,1,0,0,20230926,20230929
1868,0,1,1,1,0,0,0,20230926,20230928
1582,0,0,0,0,0,1,0,20230930,20230930
1239,0,0,0,0,1,0,0,20230929,20230929
1075,1,0,0,0,0,0,0,20231009,20231009
1008,0,0,0,0,1,0,0,20231006,20231013
989,0,0,1,0,0,0,0,20230927,20230927
80,0,0,1,0,0,0,0,20231122,20231122
