Month,Year,directed_route,date,Boardings counts,Average Weekday Boardings,select_route,select_direction,select_time_period,weekday_frequency,,,,
5,2024,A Line Northbound,2024-05,888,,A Line,Northbound,5amto9am,5,,,,
4,2024,A Line Northbound,2024-04,825,,A Line,Northbound,5amto9am,5,,,,
3,2024,A Line Northbound,2024-03,783,,A Line,Northbound,5amto9am,5,,,,
2,2024,A Line Northbound,2024-02,816,,A Line,Northbound,5amto9am,5,,,,
1,2024,A Line Northbound,2024-01,718,,A Line,Northbound,5amto9am,5,,,,
12,2023,A Line Northbound,2023-12,689,,A Line,Northbound,5amto9am,5,,,,
11,2023,A Line Northbound,2023-11,744,,A Line,Northbound,5amto9am,5,,,,
10,2023,A Line Northbound,2023-10,798,,A Line,Northbound,5amto9am,5,,,,
9,2023,A Line Northbound,2023-09,709,,A Line,Northbound,5amto9am,5,,,,
8,2023,A Line Northbound,2023-08,719,,A Line,Northbound,5amto9am,5,,,,
7,2023,A Line Northbound,2023-07,699,,A Line,Northbound,5amto9am,5,,,,
6,2023,A Line Northbound,2023-06,726,,A Line,Northbound,5amto9am,5,,,,
5,2023,A Line Northbound,2023-05,741,,A Line,Northbound,5amto9am,5,,,,
4,2023,A Line Northbound,2023-04,693,,A Line,Northbound,5amto9am,5,,,,
3,2023,A Line Northbound,2023-03,709,,A Line,Northbound,5amto9am,5,,,,
2,2023,A Line Northbound,2023-02,712,,A Line,Northbound,5amto9am,5,,,,
1,2023,A Line Northbound,2023-01,663,,A Line,Northbound,5amto9am,5,,,,
12,2022,A Line Northbound,2022-12,581,,A Line,Northbound,5amto9am,5,,,,
11,2022,A Line Northbound,2022-11,648,,A Line,Northbound,5amto9am,5,,,,
10,2022,A Line Northbound,2022-10,713,,A Line,Northbound,5amto9am,5,,,,
9,2022,A Line Northbound,2022-09,707,,A Line,Northbound,5amto9am,5,,,,
8,2022,A Line Northbound,2022-08,636,,A Line,Northbound,5amto9am,5,,,,
7,2022,A Line Northbound,2022-07,633,,A Line,Northbound,5amto9am,5,,,,
6,2022,A Line Northbound,2022-06,625,,A Line,Northbound,5amto9am,5,,,,
5,2022,A Line Northbound,2022-05,637,,A Line,Northbound,5amto9am,5,,,,
4,2022,A Line Northbound,2022-04,625,,A Line,Northbound,5amto9am,5,,,,
3,2022,A Line Northbound,2022-03,611,,A Line,Northbound,5amto9am,5,,,,
2,2022,A Line Northbound,2022-02,576,,A Line,Northbound,5amto9am,5,,,,
1,2022,A Line Northbound,2022-01,555,,A Line,Northbound,5amto9am,5,,,,
12,2021,A Line Northbound,2021-12,517,,A Line,Northbound,5amto9am,5,,,,
11,2021,A Line Northbound,2021-11,578,,A Line,Northbound,5amto9am,5,,,,
10,2021,A Line Northbound,2021-10,604,,A Line,Northbound,5amto9am,5,,,,
9,2021,A Line Northbound,2021-09,632,,A Line,Northbound,5amto9am,5,,,,
8,2021,A Line Northbound,2021-08,556,,A Line,Northbound,5amto9am,5,,,,
7,2021,A Line Northbound,2021-07,537,,A Line,Northbound,5amto9am,5,,,,
6,2021,A Line Northbound,2021-06,522,,A Line,Northbound,5amto9am,5,,,,
5,2021,A Line Northbound,2021-05,511,,A Line,Northbound,5amto9am,5,,,,
4,2021,A Line Northbound,2021-04,496,,A Line,Northbound,5amto9am,5,,,,
3,2021,A Line Northbound,2021-03,486,,A Line,Northbound,5amto9am,5,,,,
2,2021,A Line Northbound,2021-02,475,,A Line,Northbound,5amto9am,5,,,,
1,2021,A Line Northbound,2021-01,461,,A Line,Northbound,5amto9am,5,,,,
12,2020,A Line Northbound,2020-12,474,,A Line,Northbound,5amto9am,5,,,,
11,2020,A Line Northbound,2020-11,474,,A Line,Northbound,5amto9am,5,,,,
10,2020,A Line Northbound,2020-10,490,,A Line,Northbound,5amto9am,5,,,,
9,2020,A Line Northbound,2020-09,513,,A Line,Northbound,5amto9am,5,,,,
8,2020,A Line Northbound,2020-08,493,,A Line,Northbound,5amto9am,5,,,,
7,2020,A Line Northbound,2020-07,485,,A Line,Northbound,5amto9am,5,,,,
