link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500023,1500024,tram,1,RAIL.1,1,service_links,10908.532935615205,1,999999,26.6061778917444,0,24,999999.0,0.15,4,0,"LINESTRING (-111.790741   33.415331, -111.908269   33.414740)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,1,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000002,1500024,1500025,tram,1,RAIL.1,1,service_links,801.0041208173366,1,999999,18.48471048040007,0,2,999999.0,0.15,4,0,"LINESTRING (-111.908269   33.414740, -111.916899   33.414776)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,10,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000003,1500025,1500026,tram,1,RAIL.1,1,service_links,1145.1912209170978,1,999999,19.086520348618293,0,3,999999.0,0.15,4,0,"LINESTRING (-111.916899   33.414776, -111.926894   33.420815)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,11,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000004,1500026,1500027,tram,1,RAIL.1,1,service_links,1026.8630357128861,1,999999,17.1143839285481,0,3,999999.0,0.15,4,0,"LINESTRING (-111.926894   33.420815, -111.935939   33.426134)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,12,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000005,1500027,1500028,tram,1,RAIL.1,1,service_links,469.3846712472952,1,999999,10.831953951860658,0,2,999999.0,0.15,4,0,"LINESTRING (-111.935939   33.426134, -111.940700   33.427559)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,13,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000006,1500028,1500029,tram,1,RAIL.1,1,service_links,1288.5303799274059,1,999999,16.806917999053123,0,4,999999.0,0.15,4,0,"LINESTRING (-111.940700   33.427559, -111.946605   33.438047)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,14,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000007,1500029,1500030,tram,1,RAIL.1,1,service_links,985.563762554123,1,999999,22.743779135864376,0,2,999999.0,0.15,4,0,"LINESTRING (-111.946605   33.438047, -111.956107   33.442008)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,15,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000008,1500030,1500031,tram,1,RAIL.1,1,service_links,1867.044197005033,1,999999,31.117403283417215,0,3,999999.0,0.15,4,0,"LINESTRING (-111.956107   33.442008, -111.975307   33.447034)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,16,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000009,1500031,1500032,tram,1,RAIL.1,1,service_links,1182.5424557908102,1,999999,27.289441287480233,0,2,999999.0,0.15,4,0,"LINESTRING (-111.975307   33.447034, -111.987980   33.448168)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,17,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
1000010,1500032,1500033,tram,1,RAIL.1,1,service_links,1104.0063562717826,1,999999,25.47706976011806,0,2,999999.0,0.15,4,0,"LINESTRING (-111.987980   33.448168, -111.999879   33.448102)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro,18,RAIL.1:1;10;11;12;13;14;15;16;17;18;19;2;20;21;22;23;24;25;26;27;28;29;3;30;31;32;33;34;35;36;37;38;4;5;6;7;8;9
