name,node_id,x_coord,y_coord,node_type,geometry,agency_name,route_id,route_type,terminal_flag,physical_node_id,ctrl_type,agent_type,zone_id,directed_route_id,directed_service_id
9766,1000001,-111.932684,33.429352,stop,POINT (-111.932684   33.429352),Valley Metro,S,0,1,1000001,,,,,
9666,1000002,-111.929371,33.414734,stop,POINT (-111.929371   33.414734),Valley Metro,S,0,0,1000002,,,,,
9099,1000003,-111.92525,33.41476,stop,POINT (-111.925250   33.414760),Valley Metro,S,0,0,1000003,,,,,
9694,1000004,-111.916981,33.414653,stop,POINT (-111.916981   33.414653),Valley Metro,S,0,0,1000004,,,,,
9419,1000005,-111.938171,33.430136,stop,POINT (-111.938171   33.430136),Valley Metro,S,0,0,1000005,,,,,
9767,1000006,-111.941997,33.429452,stop,POINT (-111.941997   33.429452),Valley Metro,S,0,0,1000006,,,,,
9525,1000007,-111.943019,33.427402,stop,POINT (-111.943019   33.427402),Valley Metro,S,0,0,1000007,,,,,
9545,1000008,-111.943457,33.425103,stop,POINT (-111.943457   33.425103),Valley Metro,S,0,0,1000008,,,,,
9768,1000009,-111.942501,33.422355,stop,POINT (-111.942501   33.422355),Valley Metro,S,0,0,1000009,,,,,
9551,1000010,-111.939933,33.420922,stop,POINT (-111.939933   33.420922),Valley Metro,S,0,0,1000010,,,,,
9546,1000011,-111.939923,33.418088,stop,POINT (-111.939923   33.418088),Valley Metro,S,0,0,1000011,,,,,
9769,1000012,-111.935271,33.414678,stop,POINT (-111.935271   33.414678),Valley Metro,S,0,1,1000012,,,,,
9721,1000013,-111.92525,33.41476,stop,POINT (-111.925250   33.414760),Valley Metro,S,0,0,1000013,,,,,
8954,1000014,-111.929371,33.414734,stop,POINT (-111.929371   33.414734),Valley Metro,S,0,0,1000014,,,,,
9771,1000015,-111.935271,33.414678,stop,POINT (-111.935271   33.414678),Valley Metro,S,0,0,1000015,,,,,
9731,1000016,-111.939905,33.418088,stop,POINT (-111.939905   33.418088),Valley Metro,S,0,0,1000016,,,,,
9772,1000017,-111.939933,33.420922,stop,POINT (-111.939933   33.420922),Valley Metro,S,0,0,1000017,,,,,
9742,1000018,-111.939919,33.424832,stop,POINT (-111.939919   33.424832),Valley Metro,S,0,0,1000018,,,,,
9734,1000019,-111.939928,33.427936,stop,POINT (-111.939928   33.427936),Valley Metro,S,0,0,1000019,,,,,
9762,1000020,-111.790741,33.415331,stop,POINT (-111.790741   33.415331),Valley Metro,RAIL,0,1,1000020,,,,,
9041,1000021,-111.908269,33.41474,stop,POINT (-111.908269   33.414740),Valley Metro,RAIL,0,0,1000021,,,,,
9038,1000022,-111.916899,33.414776,stop,POINT (-111.916899   33.414776),Valley Metro,RAIL,0,0,1000022,,,,,
9052,1000023,-111.926894,33.420815,stop,POINT (-111.926894   33.420815),Valley Metro,RAIL,0,0,1000023,,,,,
9054,1000024,-111.935939,33.426134,stop,POINT (-111.935939   33.426134),Valley Metro,RAIL,0,0,1000024,,,,,
9043,1000025,-111.9407,33.427559,stop,POINT (-111.940700   33.427559),Valley Metro,RAIL,0,0,1000025,,,,,
9036,1000026,-111.946605,33.438047,stop,POINT (-111.946605   33.438047),Valley Metro,RAIL,0,0,1000026,,,,,
9047,1000027,-111.956107,33.442008,stop,POINT (-111.956107   33.442008),Valley Metro,RAIL,0,0,1000027,,,,,
9764,1000028,-111.975307,33.447034,stop,POINT (-111.975307   33.447034),Valley Metro,RAIL,0,0,1000028,,,,,
9033,1000029,-111.98798,33.448168,stop,POINT (-111.987980   33.448168),Valley Metro,RAIL,0,0,1000029,,,,,
9031,1000030,-111.999879,33.448102,stop,POINT (-111.999879   33.448102),Valley Metro,RAIL,0,0,1000030,,,,,
8329,1000031,-111.803099,33.415225,stop,POINT (-111.803099   33.415225),Valley Metro,RAIL,0,0,1000031,,,,,
9030,1000032,-112.029285,33.448192,stop,POINT (-112.029285   33.448192),Valley Metro,RAIL,0,0,1000032,,,,,
9028,1000033,-112.057179,33.448248,stop,POINT (-112.057179   33.448248),Valley Metro,RAIL,0,0,1000033,,,,,
9032,1000034,-112.070595,33.448352,stop,POINT (-112.070595   33.448352),Valley Metro,RAIL,0,0,1000034,,,,,
9055,1000035,-112.073866,33.44889,stop,POINT (-112.073866   33.448890),Valley Metro,RAIL,0,0,1000035,,,,,
9053,1000036,-112.073955,33.451922,stop,POINT (-112.073955   33.451922),Valley Metro,RAIL,0,0,1000036,,,,,
9048,1000037,-112.073874,33.459418,stop,POINT (-112.073874   33.459418),Valley Metro,RAIL,0,0,1000037,,,,,
9042,1000038,-112.073811,33.464703,stop,POINT (-112.073811   33.464703),Valley Metro,RAIL,0,0,1000038,,,,,
9039,1000039,-112.073799,33.473655,stop,POINT (-112.073799   33.473655),Valley Metro,RAIL,0,0,1000039,,,,,
9051,1000040,-112.073761,33.481233,stop,POINT (-112.073761   33.481233),Valley Metro,RAIL,0,0,1000040,,,,,
9045,1000041,-112.073794,33.48686,stop,POINT (-112.073794   33.486860),Valley Metro,RAIL,0,0,1000041,,,,,
9502,1000042,-111.822135,33.415066,stop,POINT (-111.822135   33.415066),Valley Metro,RAIL,0,0,1000042,,,,,
9040,1000043,-112.073773,33.495749,stop,POINT (-112.073773   33.495749),Valley Metro,RAIL,0,0,1000043,,,,,
9035,1000044,-112.073768,33.501398,stop,POINT (-112.073768   33.501398),Valley Metro,RAIL,0,0,1000044,,,,,
9037,1000045,-112.075395,33.508766,stop,POINT (-112.075395   33.508766),Valley Metro,RAIL,0,0,1000045,,,,,
9034,1000046,-112.083335,33.509288,stop,POINT (-112.083335   33.509288),Valley Metro,RAIL,0,0,1000046,,,,,
9029,1000047,-112.098824,33.509537,stop,POINT (-112.098824   33.509537),Valley Metro,RAIL,0,0,1000047,,,,,
9044,1000048,-112.099722,33.520585,stop,POINT (-112.099722   33.520585),Valley Metro,RAIL,0,0,1000048,,,,,
6655,1000049,-112.099663,33.537448,stop,POINT (-112.099663   33.537448),Valley Metro,RAIL,0,0,1000049,,,,,
6657,1000050,-112.099612,33.55227,stop,POINT (-112.099612   33.552270),Valley Metro,RAIL,0,0,1000050,,,,,
6659,1000051,-112.100848,33.567384,stop,POINT (-112.100848   33.567384),Valley Metro,RAIL,0,0,1000051,,,,,
9498,1000052,-111.830655,33.41511,stop,POINT (-111.830655   33.415110),Valley Metro,RAIL,0,0,1000052,,,,,
9347,1000053,-111.839074,33.41512,stop,POINT (-111.839074   33.415120),Valley Metro,RAIL,0,0,1000053,,,,,
9125,1000054,-111.855564,33.41494,stop,POINT (-111.855564   33.414940),Valley Metro,RAIL,0,0,1000054,,,,,
9050,1000055,-111.870907,33.414855,stop,POINT (-111.870907   33.414855),Valley Metro,RAIL,0,0,1000055,,,,,
