area_id,area_name
105S,"105th Ave & Santa Fe Dr"
107C,"107th Ave & Camelback Rd"
107I-E,"107th Ave & Indian School Rd"
107I-W,"107th Ave & Indian School Rd"
107M,"107th Ave & McDowell Rd"
11&V,"11th St & Van Buren St"
110V,"110th Pl & Via Linda"
129T,"129th Ave & Thunderbird Rd"
12CA,"12th St & Camelback Rd"
12GL,"12th St & Glendale Ave"
12LI,"12th St & Liberty Lane"
12TH,"12th St & Thomas Rd"
15BU,"15th Ave & Buckeye Rd"
15CA,"15th Ave & Camelback Rd"
15CI,"15th St & Cinnabar Ave"
15DO,"15th Ave & Dobbins Rd"
15JE,"15th Ave & Jefferson St"
15PI,"15th Ave & Pima St"
15TH,"15th Ave & Thomas Rd"
15VB,"15th Ave & Van Buren St"
15WA,"15th Ave & Washington St"
16BA,"16th St & Baseline Rd"
16BD,"16th St & Broadway Rd"
16BE,"16th St & Bethany Home Rd"
16BU,"16th St & Buckeye Rd"
16CA,"16th St & Camelback Rd"
16GL,"16th St & Glendale Ave"
16NO,"16th St & Northern Ave"
16RE,"16th St & Roeser Rd"
16RO,"16th St & Roosevelt St"
16SO,"16th St & Southern Ave"
16TH,"16th St & Thomas Rd"
16VB,"16th St & Van Buren St"
16WA,"16th St & Washington St"
17JE2,"17th Ave & Jefferson St"
17SC,"17th Av at State Capitol"
18JE,"18th Ave & Jefferson St"
19AD,"19th Ave & Adams St"
19BE,"19th Ave & Bethany Home Rd"
19BL,"19th Ave & Bell Rd"
19BU,"19th Ave & Buckeye Rd"
19CA,"19th Ave & Camelback Rd"
19CA1,"19th Ave/Camelback"
19CA2,"19th Ave/Camelback"
19CH,"19th Ave & Cholla St"
19CP,"19th Ave & Campbell Ave"
19CT,"19th Ave & Cactus Rd"
19DU,"19th Ave & Dunlap Ave"
19DU-N,"19th Ave & Dunlap Ave"
19DU-S,"19th Ave & Dunlap Ave"
19DU1,"19th Ave/Dunlap"
19DU2,"19th Ave/Dunlap"
19DV,"19th Ave & Deer Valley Rd"
19GL,"19th Ave & Glendale Ave"
19HT,"19th Ave & Hilton Ave"
19IN,"19th Ave & Indian School Rd"
19JE,"19th Ave & Jefferson St"
19JE-E,"19th Ave & Jefferson St"
19JE-S,"19th Ave & Jefferson St"
19MB,"Montebello/19th Ave TC"
19MB1,"Montebello/19th Ave"
19MB2,"Montebello/19th Ave"
19MC,"19th Ave & McDowell Rd"
19NO,"19th Ave & Northern Ave"
19PE,"19th Ave & Peoria Ave"
19SO,"19th Ave & Southern Ave"
19SS,"19th Ave & Sunnyside Dr"
19TB,"19th Ave & Thunderbird Rd"
19TH,"19th Ave & Thomas Rd"
19UN,"19th Ave & Union Hills Dr"
19VB,"19th Ave & Van Buren St"
19WH,"19th Ave & Wahalla Ln"
1AJE1,"Jefferson/1st Ave"
1AVB,"1st Ave & Van Buren St"
1AVB1,"Van Buren/1st Ave"
1SVB,"1st St & Van Buren St"
22LB,"22nd Ave & Lower Buckeye Rd"
23CA,"23rd Ave & Camelback Rd"
23HP,"23rd Ave & Happy Valley Rd"
23HP1,"23rd Ave & Happy Valley Rd"
23RO,"23rd Ave & Rose Garden Ln"
24AR,"24th St & Buchanan St"
24BA,"24th St & Baseline Rd"
24BU,"24th St & Buckeye Rd"
24CA,"24th St & Camelback Rd"
24CA-E,"24th St & Camelback Rd"
24CA-W,"24th St & Camelback Rd"
24IN,"24th St & Indian School Rd"
24JE,"24th St & Jefferson St"
24JE1,"24th St/Jefferson"
24MC,"24th St & McDowell Rd"
24RE,"24th St & Roeser Rd"
24TH,"24th St & Thomas Rd"
24VB,"24th St & Van Buren St"
24WA,"24th St & Washington St"
24WA2,"24th St/Washington"
27BA,"27th Av/Baseline PNR"
27BA1,"27th Av/Baseline PNR"
27BA2,"27th Av/Baseline PNR"
27BU,"27th Ave & Buckeye Rd"
27CA,"27th Ave & Camelback Rd"
27DU,"27th Ave & Durango Dr"
27DV,"27th Ave & Deer Valley Rd"
27GL,"27th Ave & Glendale Ave"
27IN,"27th Ave & Indian School Rd"
27LB,"27th Ave & Lower Buckeye Rd"
27LB-E,"27th Ave & Lower Buckeye Rd"
27NO,"27th Ave & Northern Ave"
27RO,"27th Ave & Rose Garden Ln"
27SO,"27th Ave & Southern Ave"
27TH,"27th Ave & Thomas Rd"
27UN,"27th Ave & Union Hills Dr"
27VB,"27th Ave & Van Buren St"
28CA,"28th St & Camelback Rd"
29BE,"29th Ave & Bell Rd"
29GR,"29th Ave & Greenway Rd"
2AVB,"2nd Ave & Van Buren St"
31TB,"31st Ave & Thunderbird Rd"
31UN,"31st Ave & Union Hills Dr"
31YO,"31st Ave & Yorkshire Dr"
32BD,"32nd St & Broadway Rd"
32CT,"32nd St & Cactus Rd"
32IN,"32nd St & Indian School Rd"
32MC,"32nd St & McDowell Rd"
32RO,"32nd St & Roosevelt St"
32RO-S,"32nd St & Roosevelt St"
32SH,"32nd St & Shea Blvd"
