service_id,date,exception_type
GUS1_Weekday_1_2301-GL_1111100,20230925,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20230925,1
Local_Weekday_10_2307-PHNS_1111100,20230925,1
RAPID_Weekday_10_2307-PHNS_1111100,20230925,1
School_Weekday_11_2307-PHNS_1000000,20230925,1
School_Weekday_11_2307-PHNS_1111100,20230925,1
Local_Weekday_20_2307-PHW_1111100,20230925,1
School_Weekday_40_2307-PHW_1000000,20230925,1
School_Weekday_40_2307-PHW_1111100,20230925,1
SC_Weekday_1_2310-SC_1111100,20230925,1
SKYT_7-days_2_SKYT_1111111,20230925,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20230925,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20230925,1
VMRU_Weekday_1_2301-VMRU_1111100,20230925,1
Express_Weekday_1_2307-VMTM_1111100,20230925,1
FLSH_Weekday_1_2307-VMTM_1111100,20230925,1
Local_Weekday_1_2307-VMTM_1111100,20230925,1
School_Weekday_1_2307-VMTM_1101100,20230925,1
School_Weekday_1_2307-VMTM_1111000,20230925,1
Express_Weekday_1_2307-VMW_1111100,20230925,1
Local_Weekday_1_2307-VMW_1111000,20230925,1
Local_Weekday_1_2307-VMW_1111100,20230925,1
GUS1_Weekday_1_2301-GL_1111100,20230926,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20230926,1
Local_Weekday_10_2307-PHNS_1111100,20230926,1
RAPID_Weekday_10_2307-PHNS_1111100,20230926,1
School_Weekday_11_2307-PHNS_0111100,20230926,1
School_Weekday_11_2307-PHNS_1111100,20230926,1
Local_Weekday_20_2307-PHW_1111100,20230926,1
School_Weekday_40_2307-PHW_0111100,20230926,1
School_Weekday_40_2307-PHW_1111100,20230926,1
SC_Weekday_1_2310-SC_1111100,20230926,1
SKYT_7-days_2_SKYT_1111111,20230926,1
TSC_V15_Mon-Sat_1_2301-VMST_1111110,20230926,1
VMLR_Mon-Sat_20_2301-VMLR_1111110,20230926,1
VMRU_Weekday_1_2301-VMRU_1111100,20230926,1
Express_Weekday_1_2307-VMTM_1111100,20230926,1
FLSH_Weekday_1_2307-VMTM_1111100,20230926,1
Local_Weekday_1_2307-VMTM_1111100,20230926,1
School_Weekday_1_2307-VMTM_1101100,20230926,1
School_Weekday_1_2307-VMTM_1111000,20230926,1
Express_Weekday_1_2307-VMW_1111100,20230926,1
Local_Weekday_1_2307-VMW_1111000,20230926,1
Local_Weekday_1_2307-VMW_1111100,20230926,1
GUS1_Weekday_1_2301-GL_1111100,20230927,1
GUS2GUS3_Weekday_1_2301-GL_1111100,20230927,1
Local_Weekday_10_2307-PHNS_1111100,20230927,1
RAPID_Weekday_10_2307-PHNS_1111100,20230927,1
School_Weekday_11_2307-PHNS_0111100,20230927,1
