route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
542,Express_Weekday_1_2307-VMTM_1111100,18994244,"Chandler PNR",1,,5420015,22957
531,Express_Weekday_1_2307-VMTM_1111100,18994245,"Downtown Gilbert",1,,5310019,22907
533,Express_Weekday_1_2307-VMTM_1111100,18994246,"Superstition Spgs",1,,5330018,22919
535,Express_Weekday_1_2307-VMTM_1111100,18994247,"Power Rd PNR",1,,5350017,22933
542,Express_Weekday_1_2307-VMTM_1111100,18994248,"Chandler PNR",1,,5420015,22951
531,Express_Weekday_1_2307-VMTM_1111100,18994249,"Downtown Gilbert",1,,5310019,22909
542,Express_Weekday_1_2307-VMTM_1111100,18994250,"Chandler PNR",1,,5420015,22954
535,Express_Weekday_1_2307-VMTM_1111100,18994251,"Power Rd PNR",1,,5350017,22929
542,Express_Weekday_1_2307-VMTM_1111100,18994252,"Chandler PNR",1,,5420015,22955
542,Express_Weekday_1_2307-VMTM_1111100,18994253,"Chandler PNR",1,,5420015,22953
514,Express_Weekday_1_2307-VMTM_1111100,18994254,"Mustang TC",1,,5140020,22879
542,Express_Weekday_1_2307-VMTM_1111100,18994255,"Chandler PNR",1,,5420015,22956
533,Express_Weekday_1_2307-VMTM_1111100,18994256,"Superstition Spgs",1,,5330018,22918
531,Express_Weekday_1_2307-VMTM_1111100,18994257,"Downtown Gilbert",1,,5310019,22906
535,Express_Weekday_1_2307-VMTM_1111100,18994258,"Power Rd PNR",1,,5350017,22930
533,Express_Weekday_1_2307-VMTM_1111100,18994259,"Superstition Spgs",1,,5330018,22923
542,Express_Weekday_1_2307-VMTM_1111100,18994260,"State Capitol",0,,5420016,22946
542,Express_Weekday_1_2307-VMTM_1111100,18994261,"State Capitol",0,,5420016,22942
542,Express_Weekday_1_2307-VMTM_1111100,18994262,"State Capitol",0,,5420016,22944
542,Express_Weekday_1_2307-VMTM_1111100,18994263,"State Capitol",0,,5420016,22943
542,Express_Weekday_1_2307-VMTM_1111100,18994264,"State Capitol",0,,5420016,22948
542,Express_Weekday_1_2307-VMTM_1111100,18994265,"State Capitol",0,,5420016,22945
514,Express_Weekday_1_2307-VMTM_1111100,18994266,"State Capitol",0,,5140018,22876
531,Express_Weekday_1_2307-VMTM_1111100,18994267,"State Capitol",0,,5310017,22905
531,Express_Weekday_1_2307-VMTM_1111100,18994268,"State Capitol",0,,5310017,22903
535,Express_Weekday_1_2307-VMTM_1111100,18994269,"State Capitol",0,,5350015,22928
535,Express_Weekday_1_2307-VMTM_1111100,18994270,"State Capitol",0,,5350015,22927
535,Express_Weekday_1_2307-VMTM_1111100,18994271,"State Capitol",0,,5350015,22925
533,Express_Weekday_1_2307-VMTM_1111100,18994272,"State Capitol",0,,5330016,22913
533,Express_Weekday_1_2307-VMTM_1111100,18994273,"State Capitol",0,,5330016,22914
522,Express_Weekday_1_2307-VMTM_1111100,18994274,"State Capitol",0,,5220010,94697
533,Express_Weekday_1_2307-VMTM_1111100,18994275,"State Capitol",0,,5330016,22916
522,Express_Weekday_1_2307-VMTM_1111100,18994276,"State Capitol",0,,5220010,94695
522,Express_Weekday_1_2307-VMTM_1111100,18994277,"State Capitol",0,,5220010,94696
522,Express_Weekday_1_2307-VMTM_1111100,18994278,"Tempe Sports Complex",1,,5220012,94698
521,Express_Weekday_1_2307-VMTM_1111100,18994279,"Tempe Library PNR",1,,5210012,94693
522,Express_Weekday_1_2307-VMTM_1111100,18994280,"Tempe Sports Complex",1,,5220012,94699
522,Express_Weekday_1_2307-VMTM_1111100,18994281,"Tempe Sports Complex",1,,5220012,94700
521,Express_Weekday_1_2307-VMTM_1111100,18994282,"State Capitol",0,,5210010,94556
521,Express_Weekday_1_2307-VMTM_1111100,18994283,"Tempe Library PNR",1,,5210012,94694
521,Express_Weekday_1_2307-VMTM_1111100,18994284,"State Capitol",0,,5210010,94557
515,Express_Weekday_1_2307-VMTM_1111100,18994285,"Gilbert McDowell PNR",0,,5150007,94701
515,Express_Weekday_1_2307-VMTM_1111100,18994286,"Gilbert McDowell PNR",0,,5150007,94702
521,Express_Weekday_1_2307-VMTM_1111100,18994287,"State Capitol",0,,5210010,94706
515,Express_Weekday_1_2307-VMTM_1111100,18994288,"Fountain Hills PNR",1,,5150008,94703
